"LANGUAGES & CULTURES OF A Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"521
LCA","","","","","","","","","","","","","","","","","","","","",""
"","101","001","","13","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","101","002","","27","3.685","51.9","37.0","7.4","3.7",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Literatures of Asia","","Course Total","","40","3.775","65.0","27.5","5.0","2.5",".",".",".",".",".",".",".",".",".",".",".","."
"Genres-Asian Religious Writing","235","001","","11","3.364","36.4","18.2","27.3","18.2",".",".",".",".",".",".",".",".",".",".",".","."
"SE Asian Refugees of Cold War","246","001","","15","3.400","13.3","60.0","20.0","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"Cen Asia: Silk Route-Afghan","265","001","","34","3.439","41.2","23.5","17.6","8.8","5.9",".",".","2.9",".",".",".",".",".",".",".","."
"Intro to the Middle East","266","001","","91","3.586","49.5","25.3","12.1","5.5","3.3",".",".","3.3",".",".",".",".","1.1",".",".","."
"","300","001","","19","3.412","36.8","21.1","15.8","10.5","5.3",".",".",".",".",".",".",".","10.5",".",".","."
"","300","002","","36","3.171","8.3","44.4","30.6","11.1",".",".","2.8","2.8",".",".",".",".",".",".",".","."
"Topics in LCA","","Course Total","","55","3.250","18.2","36.4","25.5","10.9","1.8",".","1.8","1.8",".",".",".",".","3.6",".",".","."
"Jainism: Relig of Non-Violence","367","001","","34","3.574","44.1","35.3","14.7","2.9","2.9",".",".",".",".",".",".",".",".",".",".","."
"Thought of Gandhi","402","001","","43","3.350","27.9","32.6","18.6","9.3","2.3","2.3",".","2.3",".",".",".",".","2.3","2.3",".","."
"Visual Cultures of South Asia","428","001","","15","3.077","6.7","13.3","53.3","13.3",".",".",".","6.7",".",".",".",".",".","6.7",".","."
"Lang&Society-Southeast Asia","441","001","","22","3.381","31.8","36.4","9.1","9.1","9.1",".",".",".",".",".",".",".","4.5",".",".","."
"Women in Turkish Society","472","001","","8","3.429","25.0","50.0",".",".","12.5",".",".",".",".",".",".",".",".","12.5",".","."
"Writing Travels","615","001","","11","3.950","81.8","9.1",".",".",".",".",".",".",".",".",".",".",".","9.1",".","."
"Map & Represent Colonial Space","621","001","","6","3.000","16.7","66.7",".",".",".",".","16.7",".",".",".",".",".",".",".",".","."
"Meditation-Buddhism & Hinduism","624","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Proseminar-Central Asian Hist","640","001","","7","3.571","57.1",".","42.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","682","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","","Course Total","","2","***","","","","","","","","","","","","","","","",""
"","699","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","2","***","","","","","","","","","","","","","","","",""
"","799","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","058","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","","2","***","","","","","","","","","","","","","","","",""
"Seminar in Turkic Studies","850","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr-Lang & Lit of S Asia","873","001","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","042","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","049","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Research and Thesis","","Course Total","","18","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
