"CHEMISTRY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"224
CHEM","","","","","","","","","","","","","","","","","","",""
"","344
019","14","3.429","42.9","7.1","42.9","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","344
020","12","3.292","25.0","33.3","25.0","8.3","8.3",".",".",".",".",".",".",".",".",".",".","."
"","344
021","15","3.233","26.7","13.3","46.7","6.7","6.7",".",".",".",".",".",".",".",".",".",".","."
"","344
022","16","3.281","18.8","25.0","50.0","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","344
023","17","3.294","17.6","29.4","47.1","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"","344
024","15","3.133","26.7","33.3","20.0","6.7","6.7",".","6.7",".",".",".",".",".",".",".",".","."
"","344
025","18","3.167","22.2","38.9","11.1","16.7","5.6","5.6",".",".",".",".",".",".",".",".",".","."
"","344
026","15","2.967","13.3","20.0","26.7","26.7","13.3",".",".",".",".",".",".",".",".",".",".","."
"","344
027","15","3.333","20.0","40.0","26.7","13.3",".",".",".",".",".",".",".",".",".",".",".","."
"","344
028","17","3.176","23.5","11.8","41.2","23.5",".",".",".",".",".",".",".",".",".",".",".","."
"","344
029","15","3.233","26.7","13.3","46.7","6.7","6.7",".",".",".",".",".",".",".",".",".",".","."
"","344
030","18","3.167","16.7","27.8","33.3","16.7","5.6",".",".",".",".",".",".",".",".",".",".","."
"","344
031","16","3.250","31.3","18.8","18.8","31.3",".",".",".",".",".",".",".",".",".",".",".","."
"","344
032","17","3.206","23.5","11.8","47.1","17.6",".",".",".",".",".",".",".",".",".",".",".","."
"","344
033","12","2.833","25.0","8.3","25.0","25.0","8.3",".","8.3",".",".",".",".",".",".",".",".","."
"","344
034","14","3.214","21.4","28.6","28.6","14.3","7.1",".",".",".",".",".",".",".",".",".",".","."
"","344
035","14","3.214","28.6","7.1","50.0","7.1","7.1",".",".",".",".",".",".",".",".",".",".","."
"","344
037","13","3.308","30.8","23.1","23.1","23.1",".",".",".",".",".",".",".",".",".",".",".","."
"","344
038","16","3.188","25.0","12.5","43.8","12.5","6.3",".",".",".",".",".",".",".",".",".",".","."
"Intro Organic Chemistry Lab","Course Total","548","3.242","24.6","23.2","34.9","12.8","3.8","0.4","0.4",".",".",".",".",".",".",".",".","."
"","345
001","160","2.616","19.4","4.4","27.5","7.5","31.9","3.8","5.6",".",".",".",".",".",".",".",".","."
"","345
002","344","2.656","15.4","8.7","31.4","10.2","22.4","9.0","2.9",".",".",".",".",".",".",".",".","."
"","345
003","260","2.756","21.5","9.2","28.1","8.8","21.5","7.7","3.1",".",".",".",".",".",".",".",".","."
"","345
004","40","3.413","35.0","27.5","27.5","5.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"Intmed Organic Chemistry","Course Total","804","2.718","19.2","9.0","29.4","9.0","23.1","7.1","3.4",".",".",".",".",".",".",".",".","."
"","346
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","004
346","12","3.333","33.3","33.3","8.3","16.7","8.3",".",".",".",".",".",".",".",".",".",".","."
"Intmed Organic Chem Lab","Course Total","13","3.340","30.8","38.5","7.7","15.4","7.7",".",".",".",".",".",".",".",".",".",".","."
"Polymeric Materials","421
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Undergrad Rheology Seminar","425
001","18","3.778","55.6","44.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Inorganic Chemistry","511
001","24","2.896","16.7","8.3","37.5","12.5","25.0",".",".",".",".",".",".",".",".",".",".","."
"Chemical Instrumentation","524
001","10","3.350","20.0","60.0",".","10.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"Physical Chemistry","561
001","21","3.095","38.1","4.8","28.6","4.8","19.0","4.8",".",".",".",".",".",".",".",".",".","."
"Physical Chemistry","562
001","79","2.873","19.0","17.7","38.0","7.6","6.3","3.8","7.6",".",".",".",".",".",".",".",".","."
"","563
001","20","3.100","30.0","20.0","30.0","10.0",".","5.0","5.0",".",".",".",".",".",".",".",".","."
"","563
002","12","3.000","16.7","41.7","16.7","8.3","8.3",".","8.3",".",".",".",".",".",".",".",".","."
"","563
003","24","3.667","58.3","16.7","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","563
004","16","3.375","43.8",".","43.8","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","563
005","6","3.417","50.0","16.7",".","33.3",".",".",".",".",".",".",".",".",".",".",".","."
"","563
006","21","3.190","33.3","14.3","38.1","4.8","4.8",".","4.8",".",".",".",".",".",".",".",".","."
"","563
008","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","563
010","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Physical Chemistry Lab","Course Total","108","3.269","38.0","18.5","27.8","7.4","4.6","0.9","2.8",".",".",".",".",".",".",".",".","."
"","564
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
