"MANAGEMENT AND HUMAN RES Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"236
M H R","","","","","","","","","","","","","","","","","","","",""
"738
WAVE Practicum II","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"765","001","","9","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"765","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"765","003","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","","18","3.933","72.2","11.1",".",".",".",".",".","5.6",".",".",".","11.1",".",".",".","."
"774
Seminar-Arts Administration","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"790
Master's Research and Thesis","005","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"799
Reading & Rsch-Management","204","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"870
Smr-Administrative Policy","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"975
Doctoral Rsch Smr in Mgmt","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"976
Doctoral Rsch Smr in Mgmt","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"977
Emerging Entrepreneurship","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","062","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","088","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","123","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","133","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Management","Course Total","","5","***","","","","","","","","","","","","","","","",""
"999","062","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","088","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"999","146","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","153","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Read&Rsch-Mgmt&H Resrcs PhD","Course Total","","7","4.000","85.7",".",".",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"M H R
236","Dept. Total","","1324","3.298","40.3","18.1","24.0","4.2","8.7","1.9","1.5","1.1","0.1",".",".","0.2","0.1",".",".","."
