"","E ASIAN LANGUAGES & LITERA Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"295
E ASIAN","","","","","","","","","","","","","","","","","","","","",""
"Second Semester Chinese","102","001","","94","3.761","66.0","25.5","3.2","2.1",".",".","1.1","2.1",".",".",".",".",".",".",".","."
"Second Semester Japanese","104","001","","96","3.260","33.3","29.2","17.7","10.4","4.2","3.1","2.1",".",".",".",".",".",".",".",".","."
"Elementary Korean","106","001","","29","3.893","82.8","10.3",".","3.4",".",".",".","3.4",".",".",".",".",".",".",".","."
"","121","001","","21","3.775","61.9","23.8","9.5",".",".",".",".","4.8",".",".",".",".",".",".",".","."
"","121","002","","22","3.789","63.6","13.6","4.5","4.5",".",".",".","9.1",".",".",".",".",".","4.5",".","."
"","121","003","","20","3.789","60.0","30.0","5.0",".",".",".",".","5.0",".",".",".",".",".",".",".","."
"Elementary Chinese","","Course Total","","63","3.784","61.9","22.2","6.3","1.6",".",".",".","6.3",".",".",".",".",".","1.6",".","."
"","123","001","","24","3.522","45.8","16.7","29.2",".","4.2",".",".","4.2",".",".",".",".",".",".",".","."
"","123","002","","22","3.238","40.9","27.3","4.5","9.1","4.5","4.5","4.5","4.5",".",".",".",".",".",".",".","."
"","123","003","","20","3.650","65.0","20.0","5.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"Elementary Japanese","","Course Total","","66","3.469","50.0","21.2","13.6","3.0","6.1","1.5","1.5","3.0",".",".",".",".",".",".",".","."
"Fourth Semester Chinese","202","001","","45","3.591","53.3","22.2","13.3","4.4","4.4",".",".","2.2",".",".",".",".",".",".",".","."
"Fourth Semester Japanese","204","001","","48","3.532","39.6","37.5","14.6","4.2",".","2.1",".","2.1",".",".",".",".",".",".",".","."
"Genres-Asian Religious Writing","235","001","","30","2.966","16.7","33.3","23.3","13.3",".",".","10.0",".",".",".",".",".","3.3",".",".","."
"Intro-Japanese Culture&Civ","253","001","","40","3.538","32.5","42.5","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Kendo:Intgratn-Mrtl&Lib Art","277","001","","23","3.190","21.7","30.4","26.1","4.3","4.3",".","4.3","4.3",".",".",".",".",".",".","4.3","."
"","299","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","4","***","","","","","","","","","","","","","","","",""
"","300","001","","13","3.423","38.5","23.1","23.1","15.4",".",".",".",".",".",".",".",".",".",".",".","."
"","300","002","","8","3.438","62.5",".",".","37.5",".",".",".",".",".",".",".",".",".",".",".","."
"","300","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Humanities Topics in EAS","","Course Total","","24","3.500","54.2","12.5","12.5","20.8",".",".",".",".",".",".",".",".",".",".",".","."
"Sixth Semester Chinese","302","001","","46","3.467","50.0","19.6","10.9","13.0","6.5",".",".",".",".",".",".",".",".",".",".","."
"Sixth Semester Japanese","304","001","","26","3.327","26.9","26.9","30.8","15.4",".",".",".",".",".",".",".",".",".",".",".","."
"Second Semester Chinese","312","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Fourth Semester Chinese","318","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Second Semester Japanese","320","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"1st Yr Classical Chinese","322","001","","44","3.386","34.1","31.8","20.5","9.1","2.3","2.3",".",".",".",".",".",".",".",".",".","."
"Fourth Semester Japanese","328","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Basic Technical Japanese II","332","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Classic Chinese-Non-Majors","342","001","","19","3.947","89.5","10.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fourth Semester Korean","346","001","","10","3.803","60.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sixth Semester Korean","348","001","","6","3.750","83.3",".",".","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Survey-Chinese Literature","352","001","","11","3.455","63.6","18.2","9.1",".",".",".","9.1",".",".",".",".",".",".",".",".","."
"Survey-Japanese Literature","354","001","","26","3.404","23.1","42.3","26.9","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"Intermed Tech Japanese II","375","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Eighth Semester Chinese","402","001","","20","3.703","55.0","25.0","15.0",".",".",".",".","5.0",".",".",".",".",".",".",".","."
"Eighth Semester Japanese","404","001","","19","3.605","42.1","42.1","10.5","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"Eighth Semester Korean","406","001","","8","3.750","75.0","12.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"November 30, 2010","","","","","","","","","","","","","","","","","","","","Page 195 of 405",""
