"L&S","","","","","","","","","","","","","","","","","","",""
"MATHEMATICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"600
MATH","","","","","","","","","","","","","","","","","","",""
"MATH
600","Dept. Total","4886","2.840","26.7","13.8","21.9","9.2","14.5","6.8","4.4","0.6","0.1","1.8","0.0","0.0","0.1","0.0","0.0","0.0"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"600
MATH","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1195","2.670","21.7","11.2","20.0","9.5","18.8","8.6","6.3",".",".","3.7","0.1",".","0.1",".","0.1","."
"Sophomore","","1740","2.815","22.4","14.7","24.8","10.3","14.8","6.5","4.2","0.1",".","2.1",".",".",".",".",".","0.1"
"Junior","","970","2.835","23.6","16.0","24.3","9.4","13.8","7.7","4.1","0.1","0.1","0.6",".",".","0.2",".",".","."
"Senior","","602","2.870","26.6","15.6","22.6","10.1","13.5","6.5","4.2","0.2","0.2",".",".",".","0.2","0.2","0.2","0.2"
"Undergraduates","","4507","2.782","23.0","14.2","23.1","9.9","15.5","7.3","4.7","0.1","0.0","1.9","0.0",".","0.1","0.0","0.0","0.0"
"Special","","47","3.292","51.1","10.6","6.4","2.1","14.9","8.5","2.1","4.3",".",".",".",".",".",".",".","."
"Graduate","","331","3.817","73.4","8.8","7.3","1.5","1.2",".",".","6.9","0.3",".",".","0.3",".","0.3",".","."
"Prof Yr 3","","1","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Professionals","","1","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","Dept. Total","4886","2.840","26.7","13.8","21.9","9.2","14.5","6.8","4.4","0.6","0.1","1.8","0.0","0.0","0.1","0.0","0.0","0.0"
