"MUSIC","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"660
MUSIC","","","","","","","","","","","","","","","","","","",""
"Black Music Ensemble","266
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","267
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","267
002","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","267
003","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","267
004","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","267
006","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ensemble-Brass","Course Total","30","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","268
001","10","3.700","80.0",".","10.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"","268
002","10","3.800","80.0",".","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ensemble-Percussion","Course Total","20","3.750","80.0",".","15.0",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"","269
001","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","269
002","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","269
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","269
007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","269
008","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Ensemble-String","Course Total","36","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ensemble-Guitar","270
001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","272
101","11","3.455","36.4","18.2","45.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","272
102","10","3.200","20.0","20.0","50.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"","272
103","12","3.250","16.7","41.7","25.0","8.3","8.3",".",".",".",".",".",".",".",".",".",".","."
"","272
104","12","3.500","33.3","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Musica Pract:Aural Skills 4","Course Total","45","3.356","26.7","28.9","37.8","2.2","4.4",".",".",".",".",".",".",".",".",".",".","."
"Contemp Chamber Ensemble","273
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Black Music(1920-Pres): Sax","311
001","27","3.660","48.1","33.3","7.4",".","3.7",".",".","7.4",".",".",".",".",".",".",".","."
"Topics in Music & Ethnicity-US","319
001","121","3.661","62.8","18.2","9.9","3.3","0.8","2.5",".","2.5",".",".",".",".",".",".",".","."
"Jazz Improvisation","332
001","12","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Practicum-String Pedagogy","345
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Repertoire","346
003","11","3.864","72.7","27.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Basic Concepts of Music","351
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","361
002","14","3.929","92.9",".","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","361
003","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Non-Western Music Performnc","Course Total","20","3.950","95.0",".","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Wind Ensemble","40
001","36","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Musical Cultures-World","402
001","16","3.344","25.0","25.0","43.8","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"Concert Band","41
001","56","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Survey Music-Middle Ages","411
001","19","3.474","36.8","21.1","42.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Survey Music-Baroque Era","413
001","26","3.269","38.5","3.8","42.3","3.8","11.5",".",".",".",".",".",".",".",".",".",".","."
"Survey Music-Romantic Era","415
001","24","3.563","37.5","37.5","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Varsity Band","42
001","268","3.991","97.4","1.9",".",".",".",".",".","0.7",".",".",".",".",".",".",".","."
"","43
001","126","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","43
002","88","3.972","94.3","5.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","43
003","96","3.958","99.0",".",".",".",".",".","1.0",".",".",".",".",".",".",".",".","."
"University Band","Course Total","310","3.979","98.1","1.6",".",".",".",".","0.3",".",".",".",".",".",".",".",".","."
