"ENGLISH","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"350
ENGLISH","","","","","","","","","","","","","","","","","","","",""
"Studies in Criticism","Course Total","","27","3.389","48.1","14.8","22.2","11.1",".",".","3.7",".",".",".",".",".",".",".",".","."
"563","001","","28","3.446","28.6","42.9","21.4","3.6","3.6",".",".",".",".",".",".",".",".",".",".","."
"563","002","","19","3.237","31.6","21.1","31.6","5.3","5.3","5.3",".",".",".",".",".",".",".",".",".","."
"Studies in Narrative Lit","Course Total","","47","3.362","29.8","34.0","25.5","4.3","4.3","2.1",".",".",".",".",".",".",".",".",".","."
"626","001","","28","3.518","32.1","39.3","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"626","002","","19","3.184","21.1","42.1","15.8","15.8",".",".","5.3",".",".",".",".",".",".",".",".","."
"Theme in 19th C Amer Lit","Course Total","","47","3.383","27.7","40.4","23.4","6.4",".",".","2.1",".",".",".",".",".",".",".",".","."
"630
Theme in 20th C Amer Lit","001","","33","3.500","54.5","18.2","9.1","12.1",".",".","3.0",".",".",".",".",".",".",".","3.0","."
"672
Selected Topics:Afro-Am Lit","001","","8","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"682","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","060","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"682","069","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"682","076","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","077","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","085","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Sr Honors Thesis in Major","Course Total","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"691
Senior Thesis","075","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692
Senior Thesis","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"695","001","","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"695","002","","14","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"695","003","","15","3.833","86.7","6.7",".",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"695","004","","15","4.000","93.3",".",".",".",".",".",".",".",".",".",".",".",".",".",".","6.7"
"Directed Creative Writing","Course Total","","56","3.936","91.1","5.4",".",".","1.8",".",".",".",".",".",".",".",".",".",".","1.8"
"699","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","040","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","052","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","067","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","076","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","101","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","102","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","114","","23","3.921","95.7",".","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","122","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","130","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","36","3.850","88.9","5.6","2.8",".","2.8",".",".",".",".",".",".",".",".",".",".","."
"706
Special Topics-Compositn Thry","001","","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"710
Discourse Analysis","001","","15","3.867","80.0","13.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"727
Literary Theory","001","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"753
Medieval Literature","001","","12","3.625","50.0","25.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"764
Topics-Renaissance Lit","001","","12","3.909","75.0","16.7",".",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"781
Graduate Fiction Workshop","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"785","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"November 30, 2010","","","","","","","","","","","","","","","","","","","Page 205 of 405",""
