"COUNSELING PSYCHOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"270
COUN PSY","","","","","","","","","","","","","","","","","","",""
"","105
001","16","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","105
003","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
105","24","3.913","87.5",".","8.3",".",".",".",".",".",".",".",".",".",".","4.2",".","."
"","105
006","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","105
007","15","3.667","86.7",".","6.7",".",".",".","6.7",".",".",".",".",".",".",".",".","."
"","105
008","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","105
011","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","105
012","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","105
013","10","3.850","80.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","105
014","8","3.875","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Human Dev; Awareness Proc","Course Total","118","3.885","86.4","7.6","4.2",".",".",".","0.8",".",".",".",".",".",".","0.8",".","."
"","110
001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
110","16","3.800","68.8","12.5","12.5",".",".",".",".",".",".",".",".",".","6.3",".",".","."
"","110
003","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","110
004","7","3.214","28.6","28.6",".","42.9",".",".",".",".",".",".",".",".",".",".",".","."
"Human Dev:Career Strategies","Course Total","37","3.764","73.0","10.8","5.4","8.1",".",".",".",".",".",".",".",".","2.7",".",".","."
"","115
003","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
004","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
005","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
006","10","3.550","50.0","30.0",".","20.0",".",".",".",".",".",".",".",".",".",".",".","."
"","115
008","6","3.583","50.0","16.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
009","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
011","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
014","12","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
015","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Human Dev: Ed Effectiveness","Course Total","76","3.868","84.2","7.9","5.3","2.6",".",".",".",".",".",".",".",".",".",".",".","."
"","125
002","6","3.500","83.3",".",".",".",".","16.7",".",".",".",".",".",".",".",".",".","."
"","125
003","8","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Racial&Socioecon Persp-1st Yr","Course Total","14","3.643","64.3","28.6",".",".",".","7.1",".",".",".",".",".",".",".",".",".","."
"","620
002","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","620
003","18","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Spec Topics-Cnslg & Guidnce","Course Total","30","3.969","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Theory & Prac-Interviewing","650
001","115","3.922","90.4","5.2","2.6","1.7",".",".",".",".",".",".",".",".",".",".",".","."
"","699
010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
028","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
029","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","3","***","","","","","","","","","","","","","","","",""
"Counslng-Community Settings","791
001","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Thry&Prac:Grp Work-Cnslrs","802
001","16","3.969","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Guid Prog Plan & Management","803
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Suprvsd Pract-Counseling I","806
001","16","3.906","87.5","6.3","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","808
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","808
002","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Suprvsd Prac-Coun III: Adv","Course Total","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
