"ZOOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"970
ZOOLOGY","","","","","","","","","","","","","","","","","","",""
"","101
001","274","2.672","17.2","12.8","29.9","9.1","16.8","7.7","6.6",".",".",".",".",".",".",".",".","."
"","002
101","333","2.610","14.7","12.0","28.2","9.3","21.3","8.7","5.4",".",".",".",".",".",".",".",".","0.3"
"Animal Biology","Course Total","607","2.638","15.8","12.4","29.0","9.2","19.3","8.2","5.9",".",".",".",".",".",".",".",".","0.2"
"","102
001","23","3.587","39.1","43.5","13.0","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"","102
002","22","3.273","31.8","27.3","31.8",".","4.5",".","4.5",".",".",".",".",".",".",".",".","."
"","102
003","21","2.905",".","19.0","52.4","19.0","9.5",".",".",".",".",".",".",".",".",".",".","."
"","102
004","24","3.375","4.2","66.7","29.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
005","22","3.136","13.6","27.3","36.4","18.2","4.5",".",".",".",".",".",".",".",".",".",".","."
"","102
006","22","3.773","63.6","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
007","22","3.591","59.1","9.1","22.7","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","102
008","23","3.674","56.5","26.1","13.0","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"","102
009","21","3.381","28.6","33.3","23.8","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","102
010","22","3.295","31.8","31.8","22.7","9.1",".",".","4.5",".",".",".",".",".",".",".",".","."
"","102
011","21","3.595","52.4","14.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
012","21","3.333","23.8","47.6","19.0",".","4.8","4.8",".",".",".",".",".",".",".",".",".","."
"","102
013","22","3.273","27.3","36.4","22.7","9.1",".",".","4.5",".",".",".",".",".",".",".",".","."
"","102
014","24","3.417","25.0","41.7","29.2",".","4.2",".",".",".",".",".",".",".",".",".",".","."
"","102
015","21","3.690","57.1","23.8","19.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
016","22","3.477","36.4","31.8","27.3",".","4.5",".",".",".",".",".",".",".",".",".",".","."
"","102
017","25","3.400","28.0","36.0","28.0","4.0","4.0",".",".",".",".",".",".",".",".",".",".","."
"","102
018","27","3.852","74.1","22.2","3.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
019","16","3.281","31.3","31.3","18.8","12.5",".","6.3",".",".",".",".",".",".",".",".",".","."
"Animal Biology Laboratory","Course Total","421","3.445","36.3","31.6","23.8","5.2","1.9","0.5","0.7",".",".",".",".",".",".",".",".","."
"Introductory Biology","151
001","117","2.791","17.1","11.1","42.7","5.1","12.8","5.1","6.0",".",".",".",".",".",".",".",".","."
"","152
001","115","3.355","40.0","14.8","31.3","5.2","7.0",".","0.9",".",".",".",".",".",".",".",".","0.9"
"","152
002","89","2.871","15.7","13.5","44.9","5.6","12.4","3.4","4.5",".",".",".",".",".",".",".",".","."
"Introductory Biology","Course Total","204","3.143","29.4","14.2","37.3","5.4","9.3","1.5","2.5",".",".",".",".",".",".",".",".","0.5"
"Introductory Biology","153
001","44","2.341","9.1","2.3","38.6","11.4","11.4","22.7","4.5",".",".",".",".",".",".",".",".","."
"","260
001","94","3.212","28.7","17.0","26.6","18.1","7.4",".",".","1.1",".",".",".",".",".",".","1.1","."
"","260
002","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introductory Ecology","Course Total","101","3.263","32.7","16.8","24.8","16.8","6.9",".",".","1.0",".",".",".",".",".",".","1.0","."
"Introduction to Entomology","302
001","21","3.595","47.6","38.1","4.8","4.8","4.8",".",".",".",".",".",".",".",".",".",".","."
"Hum/An Relatn:Bio&Phils Iss","335
001","117","3.000","18.8","10.3","43.6","1.7","23.1",".",".",".",".",".",".",".",".","2.6",".","."
"Parasitology","350
001","79","2.974","22.8","3.8","43.0","11.4","15.2","1.3","1.3",".",".",".",".",".",".",".",".","1.3"
"Parasitology Laboratory","351
001","12","3.000","8.3","16.7","50.0","16.7","8.3",".",".",".",".",".",".",".",".",".",".","."
"Medical Entomology","371
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Honors Proseminar","380
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","400
001","56","3.652","53.6","26.8","17.9",".","1.8",".",".",".",".",".",".",".",".",".",".","."
"","400
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Biology","Course Total","58","3.660","55.2","25.9","17.2",".","1.7",".",".",".",".",".",".",".",".",".",".","."
"Evolutionary Biology","410
001","129","3.164","38.0","17.1","14.7","7.8","17.8","3.1","0.8","0.8",".",".",".",".",".",".",".","."
"General Ecology","460
001","49","3.000","20.4","18.4","26.5","10.2","24.5",".",".",".",".",".",".",".",".",".",".","."
"General Genetics","466
001","35","2.486","5.7","14.3","22.9","20.0","22.9","11.4","2.9",".",".",".",".",".",".",".",".","."
