"BUS","","","","","","","","","","","","","","","","","","","","","","",""
"ACCOUNTING AND INFO SYSTE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"232
ACCT I S","","","","","","","","","","","","","","","","","","","","","","",""
"ACCT I S
232","Dept. Total","1955","3.293","37.3","21.1","23.4","5.7","6.0","4.3","1.4","0.4","",".",".","",".","",".","",".",".","0.3","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"232
ACCT I S","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","17","2.794","17.6","11.8","41.2","5.9","5.9","17.6",".",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","306","2.880","24.8","10.5","32.7","10.1","10.1","7.5","3.9","0.3","",".",".","",".","",".","",".",".",".","."
"Junior","","549","3.180","31.5","20.9","27.5","6.7","6.7","5.3","1.1",".","",".",".","",".","",".","",".",".",".","0.2"
"Senior","","764","3.376","39.1","21.6","23.2","5.4","6.0","3.4","1.0","0.3","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","1636","3.220","33.7","19.2","26.6","6.7","7.0","5.0","1.6","0.2","",".",".","",".","",".","",".",".",".","0.1"
"Special","","20","2.737","10.0","35.0","20.0","5.0","5.0","15.0","5.0","5.0","",".",".","",".","",".","",".",".",".","."
"Graduate","","297","3.759","58.9","30.6","6.4","0.3","0.7",".",".","1.0","",".",".","",".","",".","",".",".","2.0","."
"Prof Yr 3","","2","3.750","50.0","50.0",".",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"Professionals","","2","3.750","50.0","50.0",".",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","1955","3.293","37.3","21.1","23.4","5.7","6.0","4.3","1.4","0.4","",".",".","",".","",".","",".",".","0.3","0.1"
