"SCANDINAVIAN STUDIES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"872
SCAND ST","","","","","","","","","","","","","","","","","","","",""
"102","001","","15","3.500","46.7","26.7","6.7","20.0",".",".",".",".",".",".",".",".",".",".",".","."
"102","002","","11","3.850","72.7","9.1","9.1",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"Second Semester Norwegian","Course Total","","26","3.640","57.7","19.2","7.7","11.5",".",".",".","3.8",".",".",".",".",".",".",".","."
"112
Second Semester Swedish","001","","21","3.595","47.6","33.3","9.5","9.5",".",".",".",".",".",".",".",".",".",".",".","."
"122
Second Semester Danish","001","","6","3.417","50.0","16.7","16.7",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"202
Second Year Norwegian","001","","8","3.625","37.5","50.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"212
Second Year Swedish","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"222
Second Year Danish","001","","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"296
Scand Heritage in America","001","","32","3.633","53.1","31.3","6.3",".",".",".","3.1","6.3",".",".",".",".",".",".",".","."
"299","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","019","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","8","3.647","62.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"375
Writings-Hans C. Andersen","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"409
Survey-Old Norse-Icelandc Lit","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"411
Areas in Scandinavian Lit","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"421","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"421","002","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Scandinavn Topics in Depth","Course Total","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"422
The Drama of Henrik Ibsen","001","","7","3.714","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"425
Hamsun-20 C Norwegian Novel","001","","7","3.571","28.6","57.1","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"429
Mythology of Scandinavia","001","","9","3.500","22.2","55.6","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"431
History of Scand to 1815","001","","7","2.333","14.3","14.3",".","14.3","28.6",".","14.3","14.3",".",".",".",".",".",".",".","."
"496
Scand Heritage in America","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"510
Topics in Scand Linguistics","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"635
Survey-Scand Lit: 1800-1890","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"682
Senior Honors Thesis","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","019","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","9","3.935","77.8","11.1",".",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"990","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","10","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"999","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","3","***","","","","","","","","","","","","","","","",""
