"Thesis","Course Total","12","",".",".",".",".",".",".",".","83.3","",".",".",".","16.7",".",".",".","."
"","999
009","1","***","","","","","","","","","","",".",".",".",".",".",".","."
"","999
011","2","***","","","","","","","","","","",".",".",".",".",".",".","."
"Indep Reading & Research","Course Total","3","***","","","","","","","","","","","","","","","","",""
"AFRICAN
104","Dept. Total","720","3.355","39.9","20.1","16.8","8.3","7.4","1.1","1.5","4.0","",".",".",".","0.3","0.1","0.1","0.1","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"104
AFRICAN","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","88","3.061","22.7","15.9","26.1","15.9","15.9","1.1","1.1","1.1","",".",".",".",".",".",".",".","."
"Sophomore","","200","3.266","38.0","21.0","17.0","11.0","8.0","1.0","3.5",".","",".",".",".",".",".",".",".","0.5"
"Junior","","146","3.393","40.4","21.2","20.5","6.2","6.2","1.4","1.4","2.1","",".",".",".",".",".","0.7",".","."
"Senior","","184","3.412","45.7","17.9","14.1","7.6","7.6","1.6","0.5","4.3","",".",".",".",".","0.5",".",".","."
"Undergraduates","","618","3.309","38.7","19.4","18.3","9.5","8.6","1.3","1.8","1.9","",".",".",".",".","0.2","0.2",".","0.2"
"Special","","8","3.423","12.5","25.0",".","12.5",".",".",".","37.5","",".",".",".",".",".",".","12.5","."
"Graduate","","94","3.750","50.0","24.5","8.5",".",".",".",".","14.9","",".",".",".","2.1",".",".",".","."
"","Dept. Total","720","3.355","39.9","20.1","16.8","8.3","7.4","1.1","1.5","4.0","",".",".",".","0.3","0.1","0.1","0.1","0.1"
