"EDU","","","","","","","","","","","","","","","","","","",""
"PHYSICAL EDUC ACTIVITY PRO Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"740
PE ACTIV","","","","","","","","","","","","","","","","","","",""
"Exercise,Nutrition,&Health","100
001","211","2.588","11.8","10.4","26.5","13.7","22.3","9.0","3.3","2.4","0.5",".",".",".",".",".",".","."
"","102
001","15","3.846","66.7","13.3","6.7",".",".",".",".","13.3",".",".",".",".",".",".",".","."
"","102
002","17","3.767","58.8","17.6","11.8",".",".",".",".","11.8",".",".",".",".",".",".",".","."
"Beginning Swimming","Course Total","32","3.804","62.5","15.6","9.4",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"","111
001","16","3.733","75.0",".","12.5",".","6.3",".",".","6.3",".",".",".",".",".",".",".","."
"","111
002","17","3.750","82.4",".",".",".","11.8",".",".","5.9",".",".",".",".",".",".",".","."
"Self-defense&Assault Prevnt","Course Total","33","3.742","78.8",".","6.1",".","9.1",".",".","6.1",".",".",".",".",".",".",".","."
"","125
001","19","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","125
002","22","4.000","4.5",".",".",".",".",".",".","90.9",".",".",".",".",".",".","4.5","."
"","125
003","11","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","125
004","12","",".",".",".",".",".",".",".","91.7",".",".",".",".",".",".","8.3","."
"Adapted Fitness&Pers Traing","Course Total","64","4.000","1.6",".",".",".",".",".",".","95.3",".",".",".",".",".",".","3.1","."
"","127
001","14","3.125","35.7","21.4","14.3",".",".","7.1","7.1","14.3",".",".",".",".",".",".",".","."
"","127
002","28","3.500","35.7","25.0","3.6","3.6",".",".","3.6","28.6",".",".",".",".",".",".",".","."
"Bowling I","Course Total","42","3.359","35.7","23.8","7.1","2.4",".","2.4","4.8","23.8",".",".",".",".",".",".",".","."
"","129
001","19","3.500","15.8","36.8","5.3","5.3",".",".",".","36.8",".",".",".",".",".",".",".","."
"","129
002","27","3.652","44.4","22.2","18.5",".",".",".",".","14.8",".",".",".",".",".",".",".","."
"","129
003","38","3.196","7.9","15.8","47.4","2.6",".",".",".","26.3",".",".",".",".",".",".",".","."
"","129
004","14","3.550","57.1","7.1",".",".",".",".","7.1","28.6",".",".",".",".",".",".",".","."
"Intro to Yoga Practice","Course Total","98","3.438","26.5","20.4","24.5","2.0",".",".","1.0","25.5",".",".",".",".",".",".",".","."
"","130
001","24","3.738","45.8","37.5","4.2",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"","130
002","24","3.792","37.5","4.2","8.3",".",".",".",".","50.0",".",".",".",".",".",".",".","."
"Running (Aerobic Fitness)","Course Total","48","3.758","41.7","20.8","6.3",".",".",".",".","31.3",".",".",".",".",".",".",".","."
"","131
002","19","3.423","15.8","26.3","26.3",".",".",".",".","31.6",".",".",".",".",".",".",".","."
"","131
003","17","3.464","11.8","58.8","5.9","5.9",".",".",".","17.6",".",".",".",".",".",".",".","."
"","131
004","19","3.545","21.1","21.1","15.8",".",".",".",".","42.1",".",".",".",".",".",".",".","."
"Cross Traing-Basic Fitness","Course Total","55","3.474","16.4","34.5","16.4","1.8",".",".",".","30.9",".",".",".",".",".",".",".","."
"","132
001","21","3.625","38.1","28.6","4.8",".","4.8",".",".","23.8",".",".",".",".",".",".",".","."
"","132
002","20","3.575","55.0","25.0","15.0",".",".","5.0",".",".",".",".",".",".",".",".",".","."
"","132
003","22","3.250","36.4","13.6","4.5","4.5","9.1",".","4.5","27.3",".",".",".",".",".",".",".","."
"","132
004","20","3.605","55.0","25.0","10.0",".",".","5.0",".","5.0",".",".",".",".",".",".",".","."
"","132
005","20","3.794","60.0","20.0",".","5.0",".",".",".","10.0",".",".",".",".",".",".",".","5.0"
"","132
006","18","3.694","83.3","5.6","5.6",".",".",".","5.6",".",".",".",".",".",".",".",".","."
"","132
007","19","3.676","52.6","26.3",".","10.5",".",".",".","10.5",".",".",".",".",".",".",".","."
"","132
008","22","3.548","59.1","9.1","13.6","4.5","9.1",".",".","4.5",".",".",".",".",".",".",".","."
"Weight Training","Course Total","162","3.597","54.3","19.1","6.8","3.1","3.1","1.2","1.2","10.5",".",".",".",".",".",".",".","0.6"
"","133
003","26","3.875","73.1","15.4","3.8",".",".",".",".","7.7",".",".",".",".",".",".",".","."
"","133
004","20","3.972","85.0","5.0",".",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"","133
005","25","3.958","88.0","8.0",".",".",".",".",".","4.0",".",".",".",".",".",".",".","."
"Rhythmic/Step Aerobics","Course Total","71","3.932","81.7","9.9","1.4",".",".",".",".","7.0",".",".",".",".",".",".",".","."
"","134
001","20","3.658","70.0","15.0","5.0",".",".",".","5.0","5.0",".",".",".",".",".",".",".","."
"","134
002","17","3.625","41.2","41.2","5.9","5.9",".",".",".","5.9",".",".",".",".",".",".",".","."
"","134
003","21","3.619","76.2","9.5","4.8",".","4.8",".","4.8",".",".",".",".",".",".",".",".","."
"","134
004","17","3.912","88.2","5.9","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
