"Research or Thesis","Course Total","46","",".",".",".",".","",".",".",".","73.9","",".",".",".","26.1",".",".",".","."
"","999
010","2","***","","","","","","","","","","","",".",".",".",".",".",".","."
"","999
029","1","***","","","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","3","***","","","","","","","","","","","","","","","","","",""
"COUN PSY
270","Dept. Total","591","3.920","74.8","6.9","2.5","1.2","",".","0.2","0.2","5.8","",".","5.9",".","2.0","0.3","0.2",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","","D","F","S","U","","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"270
COUN PSY","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","65","3.792","78.5","10.8","6.2","3.1","",".","1.5",".",".","",".",".",".",".",".",".",".","."
"Sophomore","","86","3.880","87.2","4.7","2.3","2.3","",".",".","1.2",".","",".",".",".",".","1.2","1.2",".","."
"Junior","","80","3.906","81.3","13.8","3.8","1.3","",".",".",".",".","",".",".",".",".",".",".",".","."
"Senior","","160","3.918","89.4","6.3","3.1","1.3","",".",".",".",".","",".",".",".",".",".",".",".","."
"Undergraduates","","391","3.898","85.4","8.2","3.6","1.8","",".","0.3","0.3",".","",".",".",".",".","0.3","0.3",".","."
"Special","","8","4.000","100.0",".",".",".","",".",".",".",".","",".",".",".",".",".",".",".","."
"Graduate","","192","3.954","52.1","4.7","0.5",".","",".",".",".","17.7","",".","18.2",".","6.3","0.5",".",".","."
"","Dept. Total","591","3.920","74.8","6.9","2.5","1.2","",".","0.2","0.2","5.8","",".","5.9",".","2.0","0.3","0.2",".","."
