"LAFOLLETTE SCHOOL PUB AFF Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"826
PUB AFFR","","","","","","","","","","","","","","","","","","","","",""
"Economics of Health Care","548","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Economics of Education","795","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","799","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Energy Analysis Seminar","810","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Stat Meths-Pub Pol Anal","819","001","","45","3.633","35.6","55.6","8.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Community Economic Analysis","820","001","","9","3.722","66.7","22.2",".","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Administrative Internship","827","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Financng Elem&Secondry Educ","830","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Macroecon Pol & Int'l Fin Reg","854","001","","17","3.500","35.3","29.4","35.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Workshop-Int'l Public Affairs","860","001","","20","3.800","75.0","10.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Global Environmentl Governance","866","001","","13","3.667","30.8","61.5",".",".",".",".",".",".",".",".",".",".",".",".",".","7.7"
"Gov Finance-Develpng Countries","867","001","","19","3.895","78.9","21.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","869","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","869","002","","12","3.875","83.3","8.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Workshop in Public Affairs","","Course Total","","24","3.938","91.7","4.2","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Policy Analysis","873","001","","22","3.886","81.8","13.6","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Public Management","878","001","","31","3.790","58.1","41.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Nonprofit Leadership","887","001","","18","3.971","88.9","5.6",".",".",".",".",".",".",".",".",".",".","5.6",".",".","."
"","974","001","","9","3.500","22.2","22.2","22.2",".",".",".",".","33.3",".",".",".",".",".",".",".","."
"","974","002","","18","3.528","33.3","38.9","27.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","974","003","","12","3.667","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","974","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","974","005","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Public Affairs","","Course Total","","54","3.686","51.9","25.9","16.7",".",".",".",".","5.6",".",".",".",".",".",".",".","."
