"BUS","","","","","","","","","","","","","","","","","","","","","","","",""
"ACTUARIAL SCIENCE","Section","#","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"242
ACT SCI","","","","","","","","","","","","","","","","","","","","","","","",""
"Actuarial Science Methods I","300
001","34","3.956","94.1","2.9","2.9",".",".",".",".",".","",".","",".",".","",".","",".","",".",".","."
"Actuarial Science Methods II","301
001","62","3.968","96.8",".","3.2",".",".",".",".",".","",".","",".",".","",".","",".","",".",".","."
"Theory-Interst & Life Insur","303
001","58","3.207","27.6","31.0","17.2","13.8","5.2","5.2",".",".","",".","",".",".","",".","",".","",".",".","."
"Actuarial Mathematics II","651
001","53","3.075","24.5","15.1","34.0","15.1","7.5","1.9","1.9",".","",".","",".",".","",".","",".","",".",".","."
"Loss Models II","653
001","35","3.314","37.1","17.1","28.6","11.4","2.9","2.9",".",".","",".","",".",".","",".","",".","",".",".","."
"Regressn&Time Series-Actuaries","654
001","39","3.474","20.5","56.4","20.5","2.6",".",".",".",".","",".","",".",".","",".","",".","",".",".","."
"ACT SCI
242","Dept. Total","281","3.352","50.5","19.6","17.4","7.5","2.8","1.8","0.4","",".","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"242
ACT SCI","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","54","3.495","70.4","13.0","7.4","7.4",".","1.9",".","",".","",".",".","",".","",".","",".",".",".","."
"Junior","","78","3.390","61.5","12.8","15.4","3.8","5.1","1.3",".","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","117","3.198","32.5","24.8","24.8","11.1","3.4","2.6","0.9","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","250","3.302","50.0","18.4","18.0","8.0","3.2","2.0","0.4","",".","",".",".","",".","",".","",".",".",".","."
"Special","","3","3.700","66.7","33.3",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Graduate","","28","3.661","53.6","28.6","14.3","3.6",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","281","3.352","50.5","19.6","17.4","7.5","2.8","1.8","0.4","",".","",".",".","",".","",".","",".",".",".","."
