"GERMAN","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"424
GERMAN","","","","","","","","","","","","","","","","","","","",""
"","101
001","","17","3.588","58.8","23.5","5.9",".","11.8",".",".",".",".",".",".",".",".",".",".","."
"","101
002","","23","3.717","69.6","13.0","8.7","8.7",".",".",".",".",".",".",".",".",".",".",".","."
"","101
003","","23","3.833","69.6","13.0","8.7",".",".",".",".","8.7",".",".",".",".",".",".",".","."
"First Semester German","Course Total","","63","3.721","66.7","15.9","7.9","3.2","3.2",".",".","3.2",".",".",".",".",".",".",".","."
"","102
001","","18","3.559","50.0","16.7","22.2",".","5.6",".",".","5.6",".",".",".",".",".",".",".","."
"","002
102","","23","3.478","73.9","8.7","4.3",".","4.3",".","8.7",".",".",".",".",".",".",".",".","."
"","102
003","","18","3.667","55.6","27.8","11.1","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","102
004","","18","3.889","83.3","11.1","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
005","","11","3.045","9.1","36.4","27.3","9.1","18.2",".",".",".",".",".",".",".",".",".",".","."
"Second Semester German","Course Total","","88","3.563","59.1","18.2","12.5","2.3","4.5",".","2.3","1.1",".",".",".",".",".",".",".","."
"Second Semester Dutch","112
001","","12","3.500","66.7","8.3","8.3","8.3",".","8.3",".",".",".",".",".",".",".",".",".","."
"","203
001","","23","3.652","65.2","13.0","13.0","4.3","4.3",".",".",".",".",".",".",".",".",".",".","."
"","002
203","","19","3.333","36.8","10.5","31.6","10.5","5.3",".",".",".",".",".",".",".",".",".",".","5.3"
"Third Semester German","Course Total","","42","3.512","52.4","11.9","21.4","7.1","4.8",".",".",".",".",".",".",".",".",".",".","2.4"
"","204
001","","20","3.475","45.0","15.0","35.0",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"","204
002","","16","3.469","25.0","43.8","31.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","204
003","","19","3.526","42.1","31.6","21.1",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"Fourth Semester German","Course Total","","55","3.491","38.2","29.1","29.1",".","3.6",".",".",".",".",".",".",".",".",".",".","."
"Fourth Semester Dutch","214
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","221
001","","21","3.595","42.9","42.9","9.5",".","4.8",".",".",".",".",".",".",".",".",".",".","."
"","221
002","","21","3.262","28.6","14.3","42.9","9.5","4.8",".",".",".",".",".",".",".",".",".",".","."
"Intro-German Lit & Culture I","Course Total","","42","3.429","35.7","28.6","26.2","4.8","4.8",".",".",".",".",".",".",".",".",".",".","."
"Intro-German Lit & Culture II","222
001","","17","3.412","35.3","41.2","11.8","5.9",".","5.9",".",".",".",".",".",".",".",".",".","."
"","225
001","","9","3.111","33.3","22.2","33.3",".",".",".","11.1",".",".",".",".",".",".",".",".","."
"","225
002","","12","3.417","25.0","33.3","41.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","225
003","","13","3.231","23.1","23.1","38.5","7.7","7.7",".",".",".",".",".",".",".",".",".",".","."
"Composition & Conversatn I","Course Total","","34","3.265","26.5","26.5","38.2","2.9","2.9",".","2.9",".",".",".",".",".",".",".",".","."
"","226
001","","19","3.553","31.6","47.4","21.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","226
002","","22","3.600","45.5","18.2","27.3",".",".",".",".",".",".",".",".",".",".","4.5",".","4.5"
"Composition & Conversatn II","Course Total","","41","3.577","39.0","31.7","24.4",".",".",".",".",".",".",".",".",".",".","2.4",".","2.4"
"Nazi Culture","272
001","","93","3.081","19.4","22.6","29.0","15.1","12.9","1.1",".",".",".",".",".",".",".",".",".","."
"Topics in German Culture","278
001","","34","3.161","8.8","32.4","32.4","14.7","2.9",".",".","8.8",".",".",".",".",".",".",".","."
"Directed Study","299
028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"2nd Sem Dutch-Grad Stdts","312
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"4th Sem Dutch-Grad Stdts","314
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Dutch Literature","325
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Compositn & Conversatn","337
001","","16","3.563","25.0","62.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-German Linguistics","352
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"1st Sem German for Grad Stdts","401
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","402
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","402
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","402
003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","402
005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
