"BUS","","","","","","","","","","","","","","","","","","",""
"MARKETING","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"237
MARKETNG","","","","","","","","","","","","","","","","","","",""
"","300
001","263","3.170","14.4","32.3","32.3","14.8","2.7","1.9",".","1.5",".",".",".",".",".",".",".","."
"","300
002","267","3.368","23.2","40.4","25.1","8.6","1.1","0.7",".","0.7",".",".",".",".",".",".",".","."
"Marketing Management","Course Total","530","3.270","18.9","36.4","28.7","11.7","1.9","1.3",".","1.1",".",".",".",".",".",".",".","."
"","305
001","51","3.314","19.6","43.1","23.5","7.8","5.9",".",".",".",".",".",".",".",".",".",".","."
"","305
002","50","3.290","26.0","26.0","32.0","12.0","4.0",".",".",".",".",".",".",".",".",".",".","."
"Consumer Behavior","Course Total","101","3.302","22.8","34.7","27.7","9.9","5.0",".",".",".",".",".",".",".",".",".",".","."
"","310
001","45","3.522","35.6","35.6","26.7","2.2",".",".",".",".",".",".",".",".",".",".",".","."
"","310
002","46","3.380","19.6","45.7","30.4",".","4.3",".",".",".",".",".",".",".",".",".",".","."
"Marketing Research","Course Total","91","3.451","27.5","40.7","28.6","1.1","2.2",".",".",".",".",".",".",".",".",".",".","."
"","365
001","20","3.842","65.0","30.0",".",".",".",".",".","5.0",".",".",".",".",".",".",".","."
"","365
002","46","3.750","78.3","15.2","2.2",".",".","2.2","2.2",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","66","3.777","74.2","19.7","1.5",".",".","1.5","1.5","1.5",".",".",".",".",".",".",".","."
"","399
138","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
144","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
160","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading & Rsch-Marketing","Course Total","4","***","","","","","","","","","","","","","","","",""
"","415
001","43","3.381","27.9","32.6","32.6",".","2.3","2.3",".","2.3",".",".",".",".",".",".",".","."
"","415
002","52","3.413","21.2","42.3","34.6","1.9",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing Communications","Course Total","95","3.399","24.2","37.9","33.7","1.1","1.1","1.1",".","1.1",".",".",".",".",".",".",".","."
"","420
001","33","3.250","21.2","33.3","33.3","3.0",".","6.1",".","3.0",".",".",".",".",".",".",".","."
"","420
002","31","3.468","32.3","35.5","29.0",".","3.2",".",".",".",".",".",".",".",".",".",".","."
"Global Marketing Strategy","Course Total","64","3.357","26.6","34.4","31.3","1.6","1.6","3.1",".","1.6",".",".",".",".",".",".",".","."
"","460
002","46","3.424","15.2","54.3","30.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","460
003","24","3.396","20.8","54.2","20.8",".",".","4.2",".",".",".",".",".",".",".",".",".","."
"","460
004","30","3.383","13.3","50.0","36.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing Strategy","Course Total","100","3.405","16.0","53.0","30.0",".",".","1.0",".",".",".",".",".",".",".",".",".","."
"Sales Management","635
001","43","3.919","83.7","16.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","640
001","29","2.828","13.8","34.5","13.8","13.8","13.8","3.4","6.9",".",".",".",".",".",".",".",".","."
"","640
002","38","3.145","21.1","21.1","31.6","18.4","7.9",".",".",".",".",".",".",".",".",".",".","."
"Retail Management","Course Total","67","3.007","17.9","26.9","23.9","16.4","10.4","1.5","3.0",".",".",".",".",".",".",".",".","."
"","715
001","29","3.948","89.7","10.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","715
030","42","3.536","33.3","40.5","26.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing Communications","Course Total","71","3.704","56.3","28.2","15.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Strategic Global Sourcing","724
001","18","4.000","94.4",".",".",".",".",".",".","5.6",".",".",".",".",".",".",".","."
"Marketing Channels","725
001","48","3.500","33.3","37.5","25.0","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Supply Chain Managemnt","726
001","13","3.923","84.6","15.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Brand Strategy","735
001","35","3.871","77.1","20.0","2.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Developg New Products:Practicm","737
001","20","3.725","50.0","45.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
001","23","3.913","82.6","17.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
002","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
003","14","3.643","42.9","42.9","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
004","9","3.556","11.1","88.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
005","8","3.500","12.5","75.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
