"","990
026","2","***","","","","","","","","","","",".",".",".",".",".",".","."
"","990
030","3","***","","","","","","","","","","",".",".",".",".",".",".","."
"","990
031","1","***","","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","26","",".",".",".",".",".",".",".","26.9","",".",".",".","73.1",".",".",".","."
"BSE
112","Dept. Total","160","3.154","27.5","13.8","23.8","8.8","6.3","2.5","0.6","4.4","",".",".",".","11.9","0.6",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"112
BSE","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1","3.000",".",".","100.0",".",".",".",".",".","",".",".",".",".",".",".",".","."
"Sophomore","","7","3.071","14.3","14.3","42.9","28.6",".",".",".",".","",".",".",".",".",".",".",".","."
"Junior","","27","3.244","25.9","25.9","33.3","7.4","7.4",".",".",".","",".",".",".",".",".",".",".","."
"Senior","","68","2.978","29.4","10.3","27.9","14.7","10.3","5.9","1.5",".","",".",".",".",".",".",".",".","."
"Undergraduates","","103","3.053","27.2","14.6","31.1","13.6","8.7","3.9","1.0",".","",".",".",".",".",".",".",".","."
"Special","","5","3.714","60.0",".","20.0",".",".",".",".",".","",".",".",".",".","20.0",".",".","."
"Graduate","","52","3.516","25.0","13.5","9.6",".","1.9",".",".","13.5","",".",".",".","36.5",".",".",".","."
"","Dept. Total","160","3.154","27.5","13.8","23.8","8.8","6.3","2.5","0.6","4.4","",".",".",".","11.9","0.6",".",".","."
