"TERM : 1094","","","","Percentage Distribution of Grades","","","","","","","","","","","","","","","","","","Office of the Registrar","",""
"Spring 2008-2009","","","","","","","","","","","","","","","","","","","","","","Institutional Reporting","",""
"","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","","","","",""
"","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","","","","","","",""
"LANG & CULTURES OF ASIA - LA Section","#","Ave","A","AB","B","BC","C","D","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"522
LCA LANG","","","","","","","","","","","","","","","","","","","","","","","",""
"LCA LANG
Dept. Total
522","200","3.755","71.5","15.5","10.0","1.0","1.5","0.5","",".","",".","",".",".","",".","",".","",".",".",".","."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"522
LCA LANG","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","28","3.656","64.3","14.3","14.3","3.6","3.6",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","44","3.819","75.0","13.6","11.4",".",".",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Junior","44","3.854","81.8","6.8","11.4",".",".",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Senior","39","3.701","66.7","20.5","10.3",".",".","2.6","",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","155","3.769","72.9","13.5","11.6","0.6","0.6","0.6","",".","",".","",".",".","",".","",".","",".",".",".","."
"Special","6","3.083","33.3","16.7","16.7",".","33.3",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Graduate","36","3.867","77.8","19.4","2.8",".",".",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 2","2","3.000",".","50.0",".","50.0",".",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","1","3.500",".","100.0",".",".",".",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Professionals","3","3.136",".","66.7",".","33.3",".",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Dept. Total","200","3.755","71.5","15.5","10.0","1.0","1.5","0.5","",".","",".","",".",".","",".","",".","",".",".",".","."
