"Summary by Level","#","","Ave","A","AB","B","BC","C","","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"PEDIAT","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","1","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Junior","","2","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","9","3.875","88.9",".",".","11.1","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","12","3.903","91.7",".",".","8.3","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Special","","1","",".",".",".",".","",".","",".","",".","",".","",".",".","",".","",".","100.0","",".",".","."
"Graduate","","3","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","","79","3.543","17.7","73.4","8.9",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 4","","15","3.918","93.3",".","6.7",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Professionals","","94","3.579","29.8","61.7","8.5",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
