"Summary by Level","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"MED SC-V","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","1","",".",".",".",".",".","",".","",".","100.0","",".",".","",".","",".",".",".",".","."
"Sophomore","4","4.000","25.0",".",".",".",".","",".","",".","75.0","",".",".","",".","",".",".",".",".","."
"Junior","8","4.000","25.0",".",".",".",".","",".","",".","75.0","",".",".","",".","",".",".",".",".","."
"Senior","4","4.000","50.0",".",".",".",".","",".","",".","50.0","",".",".","",".","",".",".",".",".","."
"Undergraduates","17","4.000","29.4",".",".",".",".","",".","",".","70.6","",".",".","",".","",".",".",".",".","."
"Graduate","1","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Prof Yr 1","277","3.596","14.4","10.8","8.3",".",".","",".","",".","64.6","",".",".","",".","",".","1.8",".",".","."
"Prof Yr 2","120","4.000","29.2",".",".",".",".","",".","",".","70.8","",".",".","",".","",".",".",".",".","."
"Prof Yr 3","333","3.059","27.9","2.1","13.8","1.2","4.5","",".","",".","50.5","",".",".","",".","",".",".",".",".","."
"Prof Yr 4","389","3.964","44.2",".","0.5",".",".","",".","",".","55.3","",".",".","",".","",".",".",".",".","."
"Professionals","1119","3.442","30.4","3.3","6.3","0.4","1.3","",".","",".","57.8","",".",".","",".","",".","0.4",".",".","."
