"ASIAN AMERICAN STUDIES","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"184
ASIAN AM","","","","","","","","","","","","","","","","","","","","",""
"Intro-Comparatv Ethnic Studies","102","001","","14","3.500","28.6","28.6","28.6",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"Asian American Movement","153","001","","16","3.933","81.3","12.5",".",".",".",".",".","6.3",".",".",".",".",".",".",".","."
"AsianAm His:Settlmnt&Belonging","161","001","","18","2.731","11.1",".","22.2","16.7","22.2",".",".","27.8",".",".",".",".",".",".",".","."
"Ethnic Movements in U.S.","220","001","","28","3.304","21.4","42.9","21.4","10.7",".","3.6",".",".",".",".",".",".",".",".",".","."
"Topics-Asian Amer Studies","240","001","","18","3.556","61.1","11.1","16.7",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"SE Asian Refugees of Cold War","246","001","","31","3.210","25.8","12.9","41.9","16.1","3.2",".",".",".",".",".",".",".",".",".",".","."
"Survey of Asian Americn Lit","270","001","","16","3.633","43.8","31.3","18.8",".",".",".",".","6.3",".",".",".",".",".",".",".","."
"","540","001","","20","3.395","60.0","20.0",".","5.0",".",".","10.0",".",".",".",".",".",".",".","5.0","."
"","540","002","","17","3.765","58.8","35.3","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","","Course Total","","37","3.569","59.5","27.0","2.7","2.7",".",".","5.4",".",".",".",".",".",".",".","2.7","."
"Humanities Topics","560","001","","31","2.700","9.7","12.9","35.5","12.9","19.4",".","6.5","3.2",".",".",".",".",".",".",".","."
"","699","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","004","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Ind Study:Directed Readings","","Course Total","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
