"NUTRITIONAL SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"694
NUTR SCI","","","","","","","","","","","","","","","","","","","",""
"132","001","","228","2.894","20.6","17.1","21.1","15.4","19.7","3.5","1.8","0.9",".",".",".",".",".",".",".","."
"132","002","","306","2.831","13.4","21.9","22.2","15.0","22.2","3.3","1.6","0.3",".",".",".",".",".",".",".","."
"132","003","","193","2.909","18.7","18.7","18.1","16.1","16.6","5.2","0.5","6.2",".",".",".",".",".",".",".","."
"Nutrition Today","Course Total","","727","2.871","17.1","19.5","20.8","15.4","19.9","3.9","1.4","2.1",".",".",".",".",".",".",".","."
"299","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","065","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","2","***","","","","","","","","","","","","","","","",""
"311
Comparative Animal Nutritn","001","","9","3.111","33.3","11.1","22.2","11.1","22.2",".",".",".",".",".",".",".",".",".",".","."
"332
Human Nutritional Needs","001","","159","2.843","22.6","5.7","31.4","11.9","23.3","3.1","1.9",".",".",".",".",".",".",".",".","."
"350
World Hunger & Malnutrition","001","","16","3.700","50.0","31.3","12.5",".",".",".",".",".",".",".",".",".",".",".","6.3","."
"431
Nutrition in the Life Span","001","","91","3.005","17.6","15.4","40.7","7.7","16.5","2.2",".",".",".",".",".",".",".",".",".","."
"510
Biochm Prin-Human&Anml Nutr","001","","30","3.183","30.0","10.0","43.3",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"520
Applications-Clin Nutrition","001","","30","3.600","46.7","36.7","6.7","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"540
Commun Nutr Prgms & Policy Iss","001","","12","3.955","83.3","8.3",".",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"619
Adv Nutr: Metab-Macronutrients","001","","11","3.000","18.2","18.2","45.5",".",".",".","9.1",".",".",".",".",".","9.1",".",".","."
"627
Adv Nutrition: Vitamins","001","","17","3.529","35.3","35.3","29.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"672","001","","10","3.250","30.0","20.0",".",".","20.0",".",".","30.0",".",".",".",".",".",".",".","."
"672","003","","9","2.957","11.1","33.3","11.1","11.1","22.2",".",".","11.1",".",".",".",".",".",".",".","."
"Herbl, Homeopthy&Diet","Course Total","","19","3.093","21.1","26.3","5.3","5.3","21.1",".",".","21.1",".",".",".",".",".",".",".","."
"692","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","Course Total","","2","***","","","","","","","","","","","","","","","",""
"699","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","006","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","11","3.792","72.7","18.2",".","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"799","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pract-Nutri Sciences Tchg","Course Total","","2","***","","","","","","","","","","","","","","","",""
"875
Special Topics","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"881
Smr-Human&Clinicl Nutrition","001","","16","3.545","25.0","25.0","18.8",".",".",".",".","31.3",".",".",".",".",".",".",".","."
"931
Seminar-Nutrition","001","","28","4.000","14.3",".",".",".",".",".",".","85.7",".",".",".",".",".",".",".","."
"991","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"991","006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"991","008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"991","009","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"991","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","015","","3","***","","","","","","","","","",".",".",".",".",".",".","."
