"L&S","","","","","","","","","","","","","","","","","","","",""
"POLITICAL SCIENCE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"778
POLI SCI","","","","","","","","","","","","","","","","","","","",""
"Independent Work","Course Total","14","3.847","71.4","21.4","7.1",".",".",".",".",".",".",".","",".",".",".",".",".","."
"POLI SCI
778","Dept. Total","3755","3.075","22.5","23.1","25.5","13.2","9.0","2.9","1.1","1.1","0.1","0.7","",".","0.4","0.1","0.1","0.0","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"778
POLI SCI","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","231","2.591","7.8","13.9","28.6","22.1","15.6","7.8","4.3",".",".",".","",".",".",".",".",".","."
"Sophomore","","751","3.001","16.4","21.2","30.6","17.6","9.9","3.3","0.4","0.4",".","0.1","",".",".",".",".",".","0.1"
"Junior","","983","3.066","20.9","24.9","25.0","14.4","11.0","2.5","0.9",".","0.1","0.1","",".",".",".",".","0.1","."
"Senior","","1511","3.137","25.5","24.0","25.7","11.0","7.8","2.8","1.2","0.8","0.1","0.6","",".",".","0.1","0.1",".","0.2"
"Undergraduates","","3476","3.046","21.1","23.0","26.8","14.1","9.7","3.2","1.2","0.4","0.1","0.3","",".",".","0.0","0.1","0.0","0.1"
"Special","","32","3.297","12.5","34.4","31.3","3.1","3.1",".",".","9.4",".",".","",".",".",".","3.1",".","3.1"
"Graduate","","246","3.728","44.3","22.8","7.3","0.8","0.4",".",".","10.2","0.4","5.7","",".","6.5","1.6",".",".","."
"Prof Yr 2","","1","3.500",".","100.0",".",".",".",".",".",".",".",".","",".",".",".",".",".","."
"Professionals","","1","3.500",".","100.0",".",".",".",".",".",".",".",".","",".",".",".",".",".","."
"","Dept. Total","3755","3.075","22.5","23.1","25.5","13.2","9.0","2.9","1.1","1.1","0.1","0.7","",".","0.4","0.1","0.1","0.0","0.1"
