"","990
053","1","***","","","","","","","","","","","","",".",".",".","",".","",".",".","."
"","990
056","1","***","","","","","","","","","","","","",".",".",".","",".","",".",".","."
"","990
057","1","***","","","","","","","","","","","","",".",".",".","",".","",".",".","."
"Research and Thesis","Course Total","7","",".",".",".",".","",".","",".","",".","100.0",".",".",".","",".","",".",".",".","."
"ANATOMY
144","Dept. Total","250","3.800","25.2","3.2","2.8",".","",".","",".","",".","67.6","1.2",".",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","","D","","F","","S","U","CR","N","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"144
ANATOMY","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","2","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".","",".","",".",".",".","."
"Junior","","7","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".","",".","",".",".",".","."
"Senior","","13","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".","",".","",".",".",".","."
"Undergraduates","","22","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".","",".","",".",".",".","."
"Special","","1","3.000",".",".","100.0",".","",".","",".","",".",".",".",".",".","",".","",".",".",".","."
"Graduate","","35","3.594","34.3","22.9","17.1",".","",".","",".","",".","25.7",".",".",".","",".","",".",".",".","."
"Prof Yr 1","","184","4.000","11.4",".",".",".","",".","",".","",".","87.0","1.6",".",".","",".","",".",".",".","."
"Prof Yr 2","","8","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".","",".","",".",".",".","."
"Professionals","","192","4.000","15.1",".",".",".","",".","",".","",".","83.3","1.6",".",".","",".","",".",".",".","."
"","Dept. Total","250","3.800","25.2","3.2","2.8",".","",".","",".","",".","67.6","1.2",".",".","",".","",".",".",".","."
