"ENVIR ST - GAYLORD NELSON I","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"360
ENVIR ST","","","","","","","","","","","","","","","","","","","",""
"Forum on the Environment","101","001","106","3.743","84.9","4.7","0.9","2.8","1.9","0.9","2.8","0.9",".",".",".",".",".",".",".","."
"Environmental Geology","106","001","50","2.940","18.0","12.0","38.0","16.0","12.0","2.0","2.0",".",".",".",".",".",".",".",".","."
"Envir St-Social Perspective","112","001","237","3.812","72.6","20.3","3.8","0.8","0.4","0.8",".","1.3",".",".",".",".",".",".",".","."
"","120","001","24","2.708","8.3","20.8","12.5","37.5","12.5","8.3",".",".",".",".",".",".",".",".",".","."
"","120","002","49","3.073","22.4","24.5","16.3","18.4","14.3","2.0",".",".",".",".",".",".",".","2.0",".","."
"Global Phys Environments","","Course Total","73","2.951","17.8","23.3","15.1","24.7","13.7","4.1",".",".",".",".",".",".",".","1.4",".","."
"Principles-Envrnmtl Science","126","001","40","3.769","72.5","15.0","2.5","5.0","2.5",".",".","2.5",".",".",".",".",".",".",".","."
"Physical Systems of Envr","127","001","41","2.788","9.8","7.3","36.6","34.1","4.9","2.4","2.4","2.4",".",".",".",".",".",".",".","."
"Resources and People","139","001","42","3.119","33.3","26.2","11.9","16.7","4.8",".","7.1",".",".",".",".",".",".",".",".","."
"Global Chg: Atmospheric Iss","171","001","32","3.438","40.6","34.4","12.5","9.4",".",".","3.1",".",".",".",".",".",".",".",".","."
"Soil: Ecosystem & Resource","230","001","18","3.583","44.4","38.9","11.1",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"Env Lit:Speaking for Nature","307","001","21","3.700","66.7","9.5","14.3",".","4.8",".",".","4.8",".",".",".",".",".",".",".","."
"","339","001","62","3.033","12.9","24.2","37.1","8.1","12.9",".","1.6","3.2",".",".",".",".",".",".",".","."
"","339","002","62","3.000","19.4","9.7","35.5","12.9","17.7",".",".","4.8",".",".",".",".",".",".",".","."
"Environmental Conservation","","Course Total","124","3.017","16.1","16.9","36.3","10.5","15.3",".","0.8","4.0",".",".",".",".",".",".",".","."
"Environment&Global Economy","344","001","34","2.939","20.6","23.5","17.6",".","32.4","2.9",".","2.9",".",".",".",".",".",".",".","."
"Wetlands Ecology","361","001","30","3.250","30.0","20.0","33.3","3.3","13.3",".",".",".",".",".",".",".",".",".",".","."
"Renewable Energy Systems","367","001","11","3.625","45.5",".","27.3",".",".",".",".","18.2",".",".",".",".","9.1",".",".","."
"Envr Law, Toxic Subst&Consv","368","001","171","3.031","14.6","19.9","30.4","17.5","10.5","1.2",".","5.8",".",".",".",".",".",".",".","."
"Intro to Geog Info Systems","377","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics: Biol Aspects-Envir St","400","001","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Envir: Phys Sciences","401","001","9","3.778","66.7","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","402","001","22","3.705","72.7","13.6","4.5",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"","402","002","7","3.969","71.4","14.3",".",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"","402","003","9","3.389","44.4","33.3","11.1",".",".","11.1",".",".",".",".",".",".",".",".",".","."
"","402","004","10","3.833","70.0","10.0","10.0",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"","402","005","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","402","006","19","3.947","89.5","10.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Envir: Soc&Human St","","Course Total","86","3.824","79.1","11.6","3.5",".","2.3","1.2",".","1.2",".",".",".",".","1.2",".",".","."
"Environmental Ethics","441","001","30","3.317","23.3","30.0","36.7","6.7","3.3",".",".",".",".",".",".",".",".",".",".","."
"Pract Appl of GPS Surveying","444","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"World Forest History","452","001","7","3.583","28.6","42.9","14.3",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"Envir Impact-Livestock Operatn","468","001","6","3.300","33.3","16.7","16.7",".","16.7",".",".",".",".",".",".",".",".","16.7",".","."
"Intro-Environmental Health","471","001","82","3.604","48.8","25.6","24.4",".","1.2",".",".",".",".",".",".",".",".",".",".","."
"Ecology of Fishes","510","001","11","3.318","36.4","9.1","45.5",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"Ecology of Fishes Lab","511","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Bioclimatology","520","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Culture and Environment","537","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","600","001","12","3.417","33.3","25.0","33.3","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","600","002","26","3.808","84.6","3.8","3.8","3.8","3.8",".",".",".",".",".",".",".",".",".",".","."
"","600","003","16","3.781","68.8","18.8","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600","004","20","3.775","60.0","35.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"November 30, 2010","","","","","","","","","","","","","","","","","","","Page 151 of 405",""
