"L&S","","","","","","","","","","","","","","","","","","","","",""
"PHILOSOPHY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"736
PHILOS","","","","","","","","","","","","","","","","","","","","",""
"PHILOS
736","Dept. Total","1817","3.278","29.7","26.9","23.8","7.6","4.5","2.3","1.0","3.5","0.1",".","",".","",".","0.2","0.2","0.1","0.2"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"736
PHILOS","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","154","3.123","16.9","32.5","25.3","16.9","5.8","1.3","1.3",".",".",".","",".","",".",".",".",".","."
"Sophomore","","426","3.263","26.3","31.0","27.0","8.7","3.5","2.1","1.2",".",".",".","",".","",".",".","0.2",".","."
"Junior","","499","3.269","30.1","29.3","23.6","5.8","5.2","3.2","1.2","0.8",".",".","",".","",".",".","0.2",".","0.6"
"Senior","","629","3.303","33.1","23.8","24.3","7.2","5.1","2.1","1.0","2.4","0.2",".","",".","",".","0.5","0.3","0.2","."
"Undergraduates","","1708","3.266","29.0","28.0","24.9","8.0","4.8","2.3","1.1","1.1","0.1",".","",".","",".","0.2","0.2","0.1","0.2"
"Special","","12","3.171","16.7","33.3","16.7","8.3",".","8.3",".","16.7",".",".","",".","",".",".",".",".","."
"Graduate","","97","3.797","42.3","7.2","5.2","1.0",".",".",".","43.3","1.0",".","",".","",".",".",".",".","."
"","Dept. Total","1817","3.278","29.7","26.9","23.8","7.6","4.5","2.3","1.0","3.5","0.1",".","",".","",".","0.2","0.2","0.1","0.2"
