"L&S","","","","","","","","","","","","","","","","","","",""
"ECONOMICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","325
001","14","3.286","14.3","42.9","35.7",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"","325
002","16","2.933","18.8","18.8","31.3","6.3","12.5",".","6.3",".",".",".",".",".",".",".","6.3","."
"Public Utilities","Course Total","30","3.103","16.7","30.0","33.3","3.3","10.0",".","3.3",".",".",".",".",".",".",".","3.3","."
"Money and Banking","330
001","183","2.773","12.6","17.5","19.7","25.1","16.9","7.1",".","0.5",".",".",".",".",".",".",".","0.5"
"Introductory Econometrics","410
001","87","2.908","19.5","21.8","21.8","19.5","9.2","3.4","4.6",".",".",".",".",".",".",".",".","."
"Urban & Regional Economics","420
001","6","2.750",".","16.7","50.0",".","33.3",".",".",".",".",".",".",".",".",".",".","."
"Economic Decision Analysis","421
001","7","3.500","14.3","57.1","14.3",".",".",".",".",".",".",".",".",".",".",".",".","14.3"
"Wages and the Labor Market","450
001","109","2.789","9.2","22.0","24.8","18.3","20.2","4.6","0.9",".",".",".",".",".",".",".",".","."
"Indust Struct&Comptitv Stratgy","458
001","34","3.559","41.2","35.3","17.6","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"Latin Amer Economc Develpmt","462
001","30","2.650","10.0","16.7","33.3","20.0","3.3","10.0","6.7",".",".",".",".",".",".",".",".","."
"Internatl Trade & Finance","464
001","118","2.962","19.5","15.3","31.4","16.1","14.4","1.7","1.7",".",".",".",".",".",".",".",".","."
"Intl Industrial Organizations","467
001","107","2.907","17.8","16.8","30.8","15.0","14.0","2.8","2.8",".",".",".",".",".",".",".",".","."
"Urban Transport Economics","478
001","15","2.500",".","20.0","33.3","26.7",".","13.3","6.7",".",".",".",".",".",".",".",".","."
"Game Theory & Economic Anal","521
001","37","3.270","24.3","27.0","32.4","10.8","5.4",".",".",".",".",".",".",".",".",".",".","."
"Law and Economics","522
001","118","3.064","13.6","24.6","40.7","10.2","8.5","1.7","0.8",".",".",".",".",".",".",".",".","."
"Economics of Health Care","548
001","34","3.162","20.6","17.6","41.2","14.7","5.9",".",".",".",".",".",".",".",".",".",".","."
"Pub Finance-Less Dev Cntry","567
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Tutorial-Rsch Project Dsgn","590
001","15","3.667","53.3","33.3","6.7","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"Mathematical Economics II","606
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Energy Economics","671
001","37","3.431","37.8","24.3","24.3","5.4","5.4",".",".","2.7",".",".",".",".",".",".",".","."
