"ELECTRICAL AND COMPUTER E Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"320
E C E","","","","","","","","","","","","","","","","","","","",""
"Electronic Circuits I","340
001","","48","3.073","22.9","14.6","33.3","20.8","4.2","4.2",".",".",".",".",".",".",".",".",".","."
"Electronic Circuits II","342
001","","45","2.900","20.0","17.8","22.2","15.6","17.8","6.7",".",".",".",".",".",".",".",".",".","."
"","352
001","","19","3.132","21.1","15.8","42.1","10.5","10.5",".",".",".",".",".",".",".",".",".",".","."
"","352
002","","65","2.985","4.6","23.1","43.1","26.2","1.5","1.5",".",".",".",".",".",".",".",".",".","."
"Digital System Fundamentals","Course Total","","84","3.018","8.3","21.4","42.9","22.6","3.6","1.2",".",".",".",".",".",".",".",".",".","."
"Intro to Microprocessor Sys","353
001","","16","3.250","31.3","25.0","25.0","12.5",".","6.3",".",".",".",".",".",".",".",".",".","."
"Machine Organizatn&Progrmng","354
001","","30","3.200","30.0","16.7","33.3","3.3","16.7",".",".",".",".",".",".",".",".",".",".","."
"","355
001","","27","2.963","22.2","18.5","22.2","18.5","14.8",".","3.7",".",".",".",".",".",".",".",".","."
"","355
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","355
003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Electromech Energy Conversn","Course Total","","33","3.061","24.2","21.2","24.2","15.2","12.1",".","3.0",".",".",".",".",".",".",".",".","."
"","370
002","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","370
003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","370
004","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Laboratory","Course Total","","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Electricl&Electronc Circuit","376
001","","142","3.106","17.6","9.9","57.7","7.0","7.0","0.7",".",".",".",".",".",".",".",".",".","."
"","377
001","","82","2.811","13.4","20.7","23.2","19.5","13.4","9.8",".",".",".",".",".",".",".",".",".","."
"","377
003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Elec&Elec-mech Power Conver","Course Total","","83","2.819","13.3","21.7","22.9","19.3","13.3","9.6",".",".",".",".",".",".",".",".",".","."
"","379
001","","16","3.250","37.5","12.5","31.3","12.5",".","6.3",".",".",".",".",".",".",".",".",".","."
"","379
002","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Elect&Computer Engr","Course Total","","24","3.357","58.3","8.3","20.8","8.3",".","4.2",".",".",".",".",".",".",".",".",".","."
"","399
004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
066","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
070","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","9","3.921","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","412
001","","43","3.442","60.5",".","25.6",".","11.6","2.3",".",".",".",".",".",".",".",".",".","."
"","412
003","","14","3.769","71.4",".","21.4",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"","412
004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Power Electronic Circuits","Course Total","","60","3.542","65.0",".","23.3",".","8.3","1.7",".",".",".",".",".",".","1.7",".",".","."
"Electromag Wave Transmissn","420
001","","18","2.778","16.7","22.2","27.8",".","16.7","16.7",".",".",".",".",".",".",".",".",".","."
"Digital Signl Processng Lab","432
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Communication Systems II","437
001","","11","3.091","27.3","27.3",".","27.3","18.2",".",".",".",".",".",".",".",".",".",".","."
"Semiconductr Physics&Device","445
001","","18","3.706","50.0","33.3","11.1",".",".",".",".","5.6",".",".",".",".",".",".",".","."
"Embedded Microproc System Dsgn","453
001","","24","3.458","37.5","33.3","12.5","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Math&Comp Model-Physiol Sys","461
001","","13","3.192","15.4","15.4","61.5","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"Electronics of Solids","466
001","","8","3.563","50.0","25.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Design Project","491
066","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","511
002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","511
003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","511
004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"November 30, 2010","","","","","","","","","","","","","","","","","","","Page 114 of 405",""
