"PHILOSOPHY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"736
PHILOS","","","","","","","","","","","","","","","","","","",""
"","101
001","72","3.000","15.3","19.4","30.6","22.2","6.9","1.4","1.4","1.4",".",".",".",".",".","1.4",".","."
"","101
002","64","3.188","20.3","32.8","26.6","10.9","6.3","3.1",".",".",".",".",".",".",".",".",".","."
"","101
003","71","3.261","12.7","43.7","33.8","8.5",".",".","1.4",".",".",".",".",".",".",".",".","."
"","101
004","68","3.336","20.6","42.6","22.1","8.8","4.4",".",".","1.5",".",".",".",".",".",".",".","."
"","101
005","67","3.321","11.9","47.8","34.3","4.5","1.5",".",".",".",".",".",".",".",".",".",".","."
"","101
006","63","3.073","17.5","27.0","23.8","15.9","12.7","1.6",".","1.6",".",".",".",".",".",".",".","."
"Introduction to Philosophy","Course Total","405","3.197","16.3","35.6","28.6","11.9","5.2","1.0","0.5","0.7",".",".",".",".",".","0.2",".","."
"","210
001","81","2.956","25.9","16.0","27.2","4.9","13.6","11.1",".",".",".",".",".",".",".","1.2",".","."
"","210
002","69","2.819","23.2","17.4","18.8","15.9","11.6","8.7","4.3",".",".",".",".",".",".",".",".","."
"","210
003","71","3.121","33.8","19.7","23.9","7.0","2.8","8.5","2.8","1.4",".",".",".",".",".",".",".","."
"Reason in Communication","Course Total","221","2.966","27.6","17.6","23.5","9.0","9.5","9.5","2.3","0.5",".",".",".",".",".","0.5",".","."
"","211
001","68","3.272","45.6","20.6","14.7","1.5","11.8","1.5","4.4",".",".",".",".",".",".",".",".","."
"","211
002","71","3.338","35.2","33.8","12.7","2.8","5.6","4.2","1.4","4.2",".",".",".",".",".",".",".","."
"Elementary Logic","Course Total","139","3.305","40.3","27.3","13.7","2.2","8.6","2.9","2.9","2.2",".",".",".",".",".",".",".","."
"","241
001","79","3.487","44.3","26.6","15.2","8.9","2.5","1.3",".","1.3",".",".",".",".",".",".",".","."
"","241
002","77","3.740","70.1","14.3","9.1","2.6",".",".","1.3","1.3","1.3",".",".",".",".",".",".","."
"","241
003","70","3.143","12.9","31.4","45.7","2.9","2.9","2.9","1.4",".",".",".",".",".",".",".",".","."
"Introductory Ethics","Course Total","226","3.464","43.4","23.9","22.6","4.9","1.8","1.3","0.9","0.9","0.4",".",".",".",".",".",".","."
"","341
001","75","3.074","10.7","21.3","48.0","14.7","2.7",".","1.3","1.3",".",".",".",".",".",".",".","."
"","341
002","143","3.301","29.4","29.4","25.2","9.8","4.2","1.4","0.7",".",".",".",".",".",".",".",".","."
"","341
003","78","3.331","19.2","41.0","32.1","3.8","1.3",".","1.3","1.3",".",".",".",".",".",".",".","."
"","341
093","20","3.550","55.0","15.0","20.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"","341
094","18","3.278","33.3","27.8","16.7","16.7",".","5.6",".",".",".",".",".",".",".",".",".","."
"","341
095","19","3.632","42.1","47.4","5.3","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","341
097","18","3.824","66.7","22.2","5.6",".",".",".",".","5.6",".",".",".",".",".",".",".","."
"Contemporary Moral Issues","Course Total","371","3.315","27.5","29.9","28.6","8.9","2.7","0.8","0.8","0.8",".",".",".",".",".",".",".","."
"Hist of Ancient Philosophy","430
001","54","3.311","24.1","37.0","24.1","9.3","1.9",".","1.9",".",".",".",".",".",".",".",".","1.9"
"History-Modern Philosophy","432
001","51","3.630","56.9","19.6","13.7","5.9","2.0",".",".",".",".",".",".",".",".",".",".","2.0"
"Environmental Ethics","441
001","44","3.291","38.6","27.3","11.4","6.8","6.8","6.8",".","2.3",".",".",".",".",".",".",".","."
"Junior Honors Seminar","482
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Spec Topic-Philos Relig","502
001","15","3.367","26.7","20.0","53.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Theory of Knowledge","503
001","24","3.500","41.7","20.8","29.2",".","4.2",".",".","4.2",".",".",".",".",".",".",".","."
"Symbolic Logic","511
001","9","3.167",".","44.4","44.4","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topic","522
001","16","3.533","56.3","18.8","6.3","6.3",".","6.3",".","6.3",".",".",".",".",".",".",".","."
"Philosophy of Mind","551
001","41","3.205","19.5","31.7","24.4","12.2","4.9","2.4",".",".",".",".",".",".","2.4","2.4",".","."
"Political Philosophy","555
001","28","3.278","28.6","14.3","42.9","3.6","7.1",".",".",".",".",".",".",".","3.6",".",".","."
"Ethical Probs-Biomed Tech","558
001","25","3.205","20.0","24.0","24.0","12.0","8.0",".",".","12.0",".",".",".",".",".",".",".","."
"Metaphysics","560
001","30","3.365","23.3","33.3","20.0","3.3","6.7",".",".","3.3",".",".",".",".","3.3","3.3",".","3.3"
"Ethics of Modern Biotechnology","565
001","9","3.556","33.3","44.4","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Honors Seminar","581
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","599
008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
037","2","***","","","","","","","","","",".",".",".",".",".",".","."
"November 30, 2010","","","","","","","","","","","","","","","","","","Page 274 of 405",""
