"MATHEMATICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"600
MATH","","","","","","","","","","","","","","","","","","",""
"","101
001","23","2.435","17.4",".","26.1","17.4","21.7","8.7","8.7",".",".",".",".",".",".",".",".","."
"","101
002","22","2.250","9.1",".","36.4","4.5","22.7","22.7","4.5",".",".",".",".",".",".",".",".","."
"","101
003","15","2.893","33.3",".","26.7","6.7","20.0",".","6.7",".",".",".",".",".",".",".",".","6.7"
"","101
008","19","2.921","31.6",".","31.6","15.8","10.5","10.5",".",".",".",".",".",".",".",".",".","."
"","101
009","20","2.150","20.0","5.0","10.0","5.0","25.0","25.0","10.0",".",".",".",".",".",".",".",".","."
"Intermediate Algebra","Course Total","99","2.495","21.2","1.0","26.3","10.1","20.2","14.1","6.1",".",".",".",".",".",".",".",".","1.0"
"","112
002","22","3.091","22.7",".","63.6",".","13.6",".",".",".",".",".",".",".",".",".",".","."
"","112
003","16","2.281","6.3","6.3","37.5",".","31.3","6.3","12.5",".",".",".",".",".",".",".",".","."
"","112
004","17","2.471","5.9","11.8","35.3",".","35.3","5.9","5.9",".",".",".",".",".",".",".",".","."
"","112
005","16","2.625","12.5",".","50.0",".","25.0","12.5",".",".",".",".",".",".",".",".",".","."
"","112
006","15","2.867","26.7",".","40.0",".","26.7","6.7",".",".",".",".",".",".",".",".",".","."
"","112
007","16","2.281","12.5","6.3","18.8",".","43.8","12.5","6.3",".",".",".",".",".",".",".",".","."
"","112
008","18","2.333","5.6","11.1","33.3",".","27.8","16.7","5.6",".",".",".",".",".",".",".",".","."
"","112
009","13","2.923","30.8",".","46.2",".","7.7","15.4",".",".",".",".",".",".",".",".",".","."
"","010
112","9","3.167","33.3","11.1","33.3",".","22.2",".",".",".",".",".",".",".",".",".",".","."
"","011
112","19","2.053","21.1","10.5","5.3",".","26.3","15.8","21.1",".",".",".",".",".",".",".",".","."
"","112
012","17","2.353","23.5","5.9","17.6","5.9","11.8","29.4","5.9",".",".",".",".",".",".",".",".","."
"Algebra","Course Total","178","2.559","17.4","5.6","34.8","0.6","24.7","11.2","5.6",".",".",".",".",".",".",".",".","."
"","113
002","15","2.267",".",".","33.3","13.3","40.0","13.3",".",".",".",".",".",".",".",".",".","."
"","113
003","13","2.269","7.7",".","15.4","23.1","38.5","15.4",".",".",".",".",".",".",".",".",".","."
"","113
004","20","2.575","25.0","10.0","10.0","5.0","35.0","10.0","5.0",".",".",".",".",".",".",".",".","."
"","113
006","16","2.188","12.5","18.8","12.5","6.3","12.5","25.0","12.5",".",".",".",".",".",".",".",".","."
"","113
007","16","2.344","18.8","6.3",".","37.5","18.8","6.3","12.5",".",".",".",".",".",".",".",".","."
"","113
008","15","2.267","13.3","6.7","26.7","6.7","26.7",".","20.0",".",".",".",".",".",".",".",".","."
"","113
009","15","2.733","13.3","6.7","40.0","6.7","26.7","6.7",".",".",".",".",".",".",".",".",".","."
"","113
010","16","2.469","6.3","12.5","31.3","6.3","25.0","18.8",".",".",".",".",".",".",".",".",".","."
"","113
011","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Trigonometry","Course Total","128","2.367","12.5","7.8","20.3","12.5","27.3","12.5","7.0",".",".",".",".",".",".",".",".","."
"Algebra and Trigonometry","114
001","78","2.667","16.7","7.7","33.3","7.7","23.1","7.7","3.8",".",".",".",".",".",".",".",".","."
"","130
001","23","3.674","56.5","26.1","13.0","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"","130
002","22","2.818","13.6","27.3","22.7","9.1","13.6","13.6",".",".",".",".",".",".",".",".",".","."
"","004
130","21","2.667","14.3","28.6","14.3","9.5","14.3","14.3","4.8",".",".",".",".",".",".",".",".","."
"Math for","Course Total","66","3.068","28.8","27.3","16.7","7.6","9.1","9.1","1.5",".",".",".",".",".",".",".",".","."
"","131
001","20","2.900","40.0","15.0","10.0","5.0","15.0","5.0","10.0",".",".",".",".",".",".",".",".","."
"","131
002","7","3.357","42.9",".","42.9","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","131
003","23","2.957","34.8","8.7","17.4","17.4","13.0","4.3","4.3",".",".",".",".",".",".",".",".","."
"Math for Tchng:","Course Total","50","2.990","38.0","10.0","18.0","12.0","12.0","4.0","6.0",".",".",".",".",".",".",".",".","."
"","132
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","132
003","26","3.596","61.5","7.7","23.1","3.8","3.8",".",".",".",".",".",".",".",".",".",".","."
"","132
004","23","3.174","34.8","8.7","34.8","8.7","8.7","4.3",".",".",".",".",".",".",".",".",".","."
"Prob Solvng: Alg, Prob & Stats","Course Total","56","3.473","55.4","7.1","25.0","5.4","5.4","1.8",".",".",".",".",".",".",".",".",".","."
"Algebraic Reasong-Teachng Math","135
001","18","3.222","22.2","22.2","44.4",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"","141
001","36","3.143","16.7","36.1","11.1","30.6",".","2.8",".",".",".",".",".",".","2.8",".",".","."
"","141
002","58","2.966","15.5","31.0","19.0","17.2","12.1","1.7","3.4",".",".",".",".",".",".",".",".","."
"Quant Reasoning&Prob Solvng","Course Total","94","3.032","16.0","33.0","16.0","22.3","7.4","2.1","2.1",".",".",".",".",".","1.1",".",".","."
