"L&S","","","","","","","","","","","","","","","","","","",""
"CHICANA/O & LATINA/O STUDIE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"228
CHICLA","","","","","","","","","","","","","","","","","","",""
"Intro-Comparatv Ethnic Studies","102
001","12","3.375","16.7","58.3","16.7",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"Topics-Chicana/o & Latina/o St","230
001","27","3.648","66.7","18.5","11.1",".",".",".","3.7",".",".",".",".",".",".",".",".","."
"Politcs:Multi-Cultural Soc","231
001","24","3.208","20.8","29.2","29.2","12.5","8.3",".",".",".",".",".",".",".",".",".",".","."
"Col,Natn&Minrty:PuertoRican","243
001","60","3.068","18.3","16.7","45.0","10.0","3.3","3.3","1.7","1.7",".",".",".",".",".",".",".","."
"Race, Ethnicity, and Media","347
001","14","3.571","42.9","42.9",".","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Chicana/o & Latina/o Lit","357
001","16","3.594","37.5","50.0","6.3","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"American West Since 1850","462
001","35","3.394","20.0","45.7","28.6","5.7",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Topc-Chicana/o&Latina/o St","530
001","7","3.500","57.1","14.3","14.3",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"CHICLA
228","Dept. Total","195","3.336","30.3","30.8","26.2","7.2","3.1","1.0","1.0","0.5",".",".",".",".",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"228
CHICLA","","","","","","","","","","","","","","","","","","",""
"Freshmen","","25","3.037","32.0","16.0","28.0","4.0","8.0","8.0","4.0",".",".",".",".",".",".",".",".","."
"Sophomore","","52","3.249","26.9","25.0","32.7","9.6","3.8",".","1.9",".",".",".",".",".",".",".",".","."
"Junior","","48","3.343","22.9","35.4","29.2","10.4","2.1",".",".",".",".",".",".",".",".",".",".","."
"Senior","","69","3.509","36.2","37.7","18.8","4.3","1.4",".",".","1.4",".",".",".",".",".",".",".","."
"Undergraduates","","194","3.333","29.9","30.9","26.3","7.2","3.1","1.0","1.0","0.5",".",".",".",".",".",".",".","."
"Graduate","","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","Dept. Total","195","3.336","30.3","30.8","26.2","7.2","3.1","1.0","1.0","0.5",".",".",".",".",".",".",".","."
