"REAL ESTATE & URBAN LAND E Section","","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"239
REAL EST","","","","","","","","","","","","","","","","","","","",""
"The Real Estate Process","306","001","161","3.269","30.4","25.5","26.7","5.0","7.5","2.5","0.6","1.9",".",".",".",".",".",".",".","."
"Real Estate Law","312","001","46","3.283","23.9","30.4","34.8","4.3","4.3","2.2",".",".",".",".",".",".",".",".",".","."
"","365","001","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365","002","35","3.814","91.4","2.9",".",".","2.9",".","2.9",".",".",".",".",".",".",".",".","."
"Contemporary Topics","","Course Total","47","3.833","93.6","2.1",".",".","2.1",".","2.1",".",".",".",".",".",".",".",".","."
"Real Estate Finance","410","001","50","3.375","36.0","30.0","14.0","10.0","4.0",".","2.0","2.0",".",".",".",".",".",".","2.0","."
"Valuation of Real Estate","415","001","43","3.464","30.2","34.9","27.9","4.7",".",".",".","2.3",".",".",".",".",".",".",".","."
"Urban & Regional Economics","420","001","31","3.583","38.7","35.5","22.6",".",".",".",".",".",".",".",".",".",".",".",".","3.2"
"Community Economic Analysis","520","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Residentl Property Devlpmnt","611","001","72","3.833","83.3","8.3","4.2","2.8",".","1.4",".",".",".",".",".",".",".",".",".","."
"Cmptr Appl-Real Estate Anal","631","001","13","4.000","92.3",".",".",".",".",".",".","7.7",".",".",".",".",".",".",".","."
"Real Estate Equity Investmt","740","001","17","3.618","41.2","47.1","5.9","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"Commercial Proprty Devlpmnt","750","001","17","3.529","35.3","35.3","29.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765","001","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765","002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Contemporary Topics","","Course Total","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","799","005","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","013","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Rdg & Rsch-Urban Land Econ","","Course Total","5","***","","","","","","","","","","","","","","","",""
"Adv Real Est Finance Theory","870","001","21","3.786","71.4","19.0","4.8","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"PhD Thesis-Real Estate","990","097","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","142","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","156","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Readng&Rsch-Real Estate PhD","","Course Total","4","***","","","","","","","","","","","","","","","",""
