"MUSIC","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"660
MUSIC","","","","","","","","","","","","","","","","","","",""
"The Musical Experience","101
001","148","3.296","29.7","29.7","23.6","1.4","8.8","1.4","1.4","4.1",".",".",".",".",".",".",".","."
"Intro-Mus Cult of the World","103
001","59","3.161","37.3","11.9","25.4","1.7","13.6","1.7","3.4","5.1",".",".",".",".",".",".",".","."
"Opera","105
001","77","3.715","66.2","11.7","10.4",".","5.2",".",".","6.5",".",".",".",".",".",".",".","."
"","111
001","23","3.619","47.8","17.4","26.1",".",".",".",".","8.7",".",".",".",".",".",".",".","."
"","111
002","22","3.595","45.5","27.3","18.2","4.5",".",".",".","4.5",".",".",".",".",".",".",".","."
"Elements of Music","Course Total","45","3.607","46.7","22.2","22.2","2.2",".",".",".","6.7",".",".",".",".",".",".",".","."
"","113
001","537","3.970","96.3","2.2","0.7",".","0.2",".","0.2","0.4",".",".",".",".",".",".",".","."
"","113
002","58","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Music in Performance","Course Total","595","3.970","86.9","2.0","0.7",".","0.2",".","0.2","10.1",".",".",".",".",".",".",".","."
"","122
001","24","3.063","12.5","16.7","45.8","20.8","4.2",".",".",".",".",".",".",".",".",".",".","."
"","122
002","34","3.265","29.4","17.6","35.3","11.8","5.9",".",".",".",".",".",".",".",".",".",".","."
"Musica Practica 2","Course Total","58","3.181","22.4","17.2","39.7","15.5","5.2",".",".",".",".",".",".",".",".",".",".","."
"","151
001","29","3.304","34.5","20.7","24.1","3.4","13.8",".",".","3.4",".",".",".",".",".",".",".","."
"","151
002","25","3.429","36.0","16.0","24.0",".","8.0",".",".","16.0",".",".",".",".",".",".",".","."
"","151
003","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Basic Concepts-Music Theory","Course Total","57","3.327","35.1","19.3","22.8","1.8","10.5","1.8",".","8.8",".",".",".",".",".",".",".","."
"","172
101","13","3.385","15.4","46.2","38.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","172
102","11","3.136","18.2","18.2","45.5","9.1","9.1",".",".",".",".",".",".",".",".",".",".","."
"","172
103","11","3.591","45.5","27.3","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","172
104","11","3.364","36.4","27.3","9.1","27.3",".",".",".",".",".",".",".",".",".",".",".","."
"","172
105","12","3.458","33.3","25.0","41.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Musica Pract:Aural Skills 2","Course Total","58","3.388","29.3","29.3","32.8","6.9","1.7",".",".",".",".",".",".",".",".",".",".","."
"The Legendary Performers","206
001","301","3.699","55.8","21.3","12.0","2.0","0.3",".","0.3","7.6",".",".",".",".","0.7",".",".","."
"Survey-Hist Western Music","212
001","70","3.037","27.1","5.7","40.0","4.3","14.3","2.9","1.4","4.3",".",".",".",".",".",".",".","."
"","222
001","21","3.500","28.6","47.6","19.0","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"","222
002","24","3.417","29.2","25.0","45.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Musica Practica 4","Course Total","45","3.456","28.9","35.6","33.3","2.2",".",".",".",".",".",".",".",".",".",".",".","."
"","254
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","254
002","13","3.692","76.9",".","15.4",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"Conducting","Course Total","19","3.789","84.2",".","10.5",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"University Opera","256
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Opera Workshop","257
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","262
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","262
002","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Jazz Ensemble","Course Total","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","264
001","27","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","264
002","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ensemble: Wisconsin Singers","Course Total","39","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","265
001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","265
002","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","265
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","265
005","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Ensemble-Woodwind","Course Total","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
