"","990
218","1","***","","","","","","","","","","","","","",".",".",".","",".","",".",".","."
"","990
223","1","***","","","","","","","","","","","","","",".",".",".","",".","",".",".","."
"","990
224","1","***","","","","","","","","","","","","","",".",".",".","",".","",".",".","."
"Research","Course Total","9","",".",".",".",".","",".","",".","",".","100.0","",".",".",".","",".","",".",".",".","."
"MEDICINE
632","Dept. Total","412","3.576","44.2","22.8","15.0","0.2","",".","",".","",".","17.5","",".",".",".","",".","",".",".",".","0.2"
"Summary by Level","","#","Ave","A","AB","B","BC","C","","D","","F","","S","U","","CR","N","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"632
MEDICINE","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","6","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".",".","",".","",".",".",".","."
"Junior","","13","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".",".","",".","",".",".",".","."
"Senior","","22","3.976","95.5","4.5",".",".","",".","",".","",".",".","",".",".",".","",".","",".",".",".","."
"Undergraduates","","41","3.987","97.6","2.4",".",".","",".","",".","",".",".","",".",".",".","",".","",".",".",".","."
"Special","","2","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".",".","",".","",".",".",".","."
"Graduate","","8","",".",".",".",".","",".","",".","",".","100.0","",".",".",".","",".","",".",".",".","."
"Prof Yr 2","","5","",".",".",".",".","",".","",".","",".","100.0","",".",".",".","",".","",".",".",".","."
"Prof Yr 3","","107","3.369","25.2","33.6","37.4",".","",".","",".","",".","2.8","",".",".",".","",".","",".",".",".","0.9"
"Prof Yr 4","","249","3.727","45.4","22.9","8.8","0.4","",".","",".","",".","22.5","",".",".",".","",".","",".",".",".","."
"Professionals","","361","3.537","38.8","25.8","17.2","0.3","",".","",".","",".","17.7","",".",".",".","",".","",".",".",".","0.3"
"","Dept. Total","412","3.576","44.2","22.8","15.0","0.2","",".","",".","",".","17.5","",".",".",".","",".","",".",".",".","0.2"
