"ATMOSPHERIC & OCEANIC SCIE Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"640
ATM OCN","","","","","","","","","","","","","","","","","","","",""
"100","001","","292","3.143","27.1","24.7","17.8","18.8","7.9","2.4","1.0","0.3",".",".",".",".",".",".",".","."
"100","002","","193","2.935","18.7","28.5","19.7","12.4","10.4","6.7","3.1","0.5",".",".",".",".",".",".",".","."
"Weather and Climate","Course Total","","485","3.060","23.7","26.2","18.6","16.3","8.9","4.1","1.9","0.4",".",".",".",".",".",".",".","."
"101
Weather and Climate","001","","91","2.962","28.6","13.2","18.7","23.1","8.8","4.4","3.3",".",".",".",".",".",".",".",".","."
"105
Survey of Oceanography","001","","36","3.694","72.2","16.7","5.6",".","2.8",".","2.8",".",".",".",".",".",".",".",".","."
"132
Earth Water:Nat Sci&Hum Use","001","","87","3.161","35.6","25.3","12.6","6.9","14.9",".","4.6",".",".",".",".",".",".",".",".","."
"171
Global Chg: Atmospheric Iss","001","","57","3.445","28.1","42.1","17.5","5.3","3.5",".",".",".",".",".",".",".","1.8","1.8",".","."
"311
Dynamic-Atmosphere&Ocean II","001","","20","2.800","10.0","20.0","35.0","10.0","15.0","10.0",".",".",".",".",".",".",".",".",".","."
"340
Physics-Atmosphere&Ocean II","001","","19","3.237","21.1","26.3","36.8","10.5","5.3",".",".",".",".",".",".",".",".",".",".","."
"401
Topics in Meteorology","001","","7","3.714","85.7",".",".",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"405
AOS Senior Capstone Seminar","001","","20","3.850","80.0","15.0",".","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"441
Radar & Satellite Meteorology","001","","15","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"453
Syn Lab II-Mesoscale Meteor","001","","18","3.500","38.9","27.8","27.8","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"520
Bioclimatology","001","","15","3.433","60.0","13.3","13.3","6.7",".",".","6.7",".",".",".",".",".",".",".",".","."
"611
Geophys Fluid Dynamics II","001","","9","3.563","22.2","55.6","11.1",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"638
Atmospheric Chemistry","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"640
Radiatn in Atmosphere&Ocean","001","","11","3.500","36.4","45.5","9.1",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"682
Senior Honors Thesis","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","Course Total","","2","***","","","","","","","","","","","","","","","",""
"699","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","4","***","","","","","","","","","","","","","","","",""
"801","001","","8","3.625","37.5","50.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"801","002","","11","3.909","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Theoretical Meteor","Course Total","","19","3.789","63.2","31.6","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"980
Earth System Sci Seminar","001","","7","",".",".",".",".",".",".",".","14.3",".","85.7",".",".",".",".",".","."
"990","005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","14","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","016","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","025","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","026","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","029","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","030","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","031","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","033","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","034","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"November 30, 2010","","","","","","","","","","","","","","","","","","","Page 260 of 405",""
