"PHYSICAL EDUC ACTIVITY PRO Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","",""
"740
PE ACTIV","","","","","","","","","","","","","","","","","","","",""
"275
001","34","3.734","47.1","44.1","2.9",".",".",".",".","5.9",".",".",".","",".","",".",".",".","."
"275
002","30","3.731","63.3","20.0",".",".",".",".","3.3","13.3",".",".",".","",".","",".",".",".","."
"Course Total
Volleyball II","64","3.733","54.7","32.8","1.6",".",".",".","1.6","9.4",".",".","",".","",".",".",".",".","."
"277
001
Kendo:Intgratn-Mrtl&Lib Art","19","3.658","52.6","31.6","10.5","5.3",".",".",".",".",".",".",".","",".","",".",".",".","."
"295
001
Bicycling","16","3.719","62.5","18.8","18.8",".",".",".",".",".",".",".",".","",".","",".",".",".","."
"300
001","21","3.767","47.6","14.3","9.5",".",".",".",".","28.6",".",".",".","",".","",".",".",".","."
"300
002","20","3.444","35.0","30.0","20.0",".",".","5.0",".","10.0",".",".",".","",".","",".",".",".","."
"300
003","11","3.889","72.7",".","9.1",".",".",".",".","18.2",".",".",".","",".","",".",".",".","."
"Course Total
Workshop-Physical Activity","52","3.655","48.1","17.3","13.5",".",".","1.9",".","19.2",".",".","",".","",".",".",".",".","."
"301
001
Swim Endur&Stroke Proficncy","20","3.921","80.0","15.0",".",".",".",".",".","5.0",".",".",".","",".","",".",".",".","."
"303
001
Aquatic Conditioning","24","3.864","70.8","16.7","4.2",".",".",".",".","8.3",".",".",".","",".","",".",".",".","."
"308
001
Lifegrdng&Swimmng Supervisn","14","4.000","85.7",".",".",".",".",".",".","14.3",".",".",".","",".","",".",".",".","."
"330
001
Triathlon Training","29","3.615","13.8","27.6","3.4",".",".",".",".","55.2",".",".",".","",".","",".",".",".","."
"362
001
Tennis III","12","3.650","33.3","41.7","8.3",".",".",".",".","16.7",".",".",".","",".","",".",".",".","."
"PE ACTIV
Dept. Total
740","1786","3.399","42.3","19.4","11.3","3.3","3.6","1.3","0.8","17.6","0.1",".","",".","",".","0.1",".","0.1","0.1"
"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","",""
"740
PE ACTIV","","","","","","","","","","","","","","","","","","","",""
"Freshmen","196","3.122","37.8","26.0","15.8","7.1","4.6","3.1","3.1","2.6",".",".","",".","",".",".",".",".","."
"Sophomore","312","3.312","44.6","23.1","15.7","5.1","5.8","1.9","0.6","3.2",".",".","",".","",".",".",".",".","."
"Junior","341","3.411","50.4","18.5","12.0","2.6","5.6","1.2","0.6","9.1",".",".","",".","",".",".",".",".","."
"Senior","744","3.546","44.5","19.4","8.1","2.6","2.3","0.9","0.5","21.5","0.1",".","",".","",".","0.1",".",".","."
"Undergraduates","1593","3.399","44.9","20.7","11.4","3.6","4.0","1.4","0.9","12.9","0.1",".","",".","",".","0.1",".",".","."
"Special","96","2.985","8.3","6.3","9.4",".","2.1","1.0","1.0","68.8",".",".","",".","",".",".",".","2.1","1.0"
"Graduate","76","3.600","30.3","10.5","13.2","1.3",".",".",".","44.7",".",".","",".","",".",".",".",".","."
"Prof Yr 1","2","4.000","50.0",".",".",".",".",".",".","50.0",".",".","",".","",".",".",".",".","."
"Prof Yr 2","4","4.000","50.0",".",".",".",".",".",".","50.0",".",".","",".","",".",".",".",".","."
"Prof Yr 3","15","3.750","40.0","20.0","6.7",".",".",".",".","33.3",".",".","",".","",".",".",".",".","."
"Professionals","21","3.808","42.9","14.3","4.8",".",".",".",".","38.1",".",".","",".","",".",".",".",".","."
"Dept. Total","1786","3.399","42.3","19.4","11.3","3.3","3.6","1.3","0.8","17.6","0.1",".","",".","",".","0.1",".","0.1","0.1"
