"L&S","","","","","","","","","","","","","","","","","","",""
"MATHEMATICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"600
MATH","","","","","","","","","","","","","","","","","","",""
"Topics-Finite Mathematics","210
002","156","3.000","31.4","14.7","25.0","9.6","9.6","4.5","5.1",".",".",".",".",".",".",".",".","."
"","211
001","229","2.882","12.2","31.4","12.7","27.9","8.3","3.5","3.5",".",".",".",".",".",".",".","0.4","."
"","211
002","99","2.939","38.4","8.1","16.2","10.1","14.1","7.1","5.1",".","1.0",".",".",".",".",".",".","."
"Calculus","Course Total","328","2.899","20.1","24.4","13.7","22.6","10.1","4.6","4.0",".","0.3",".",".",".",".",".","0.3","."
"Calc/Intro-Differntl Equats","213
001","110","2.949","24.5","10.9","42.7","0.9","7.3","8.2","3.6","0.9",".",".",".",".","0.9",".",".","."
"","217
001","156","2.519","14.7","10.3","20.5","9.0","30.1","12.8","2.6",".",".",".",".",".",".",".",".","."
"","217
002","152","2.553","18.4","12.5","23.7","9.9","17.8","6.6","11.2",".",".",".",".",".",".",".",".","."
"Calc with Algebra & Trig II","Course Total","308","2.536","16.6","11.4","22.1","9.4","24.0","9.7","6.8",".",".",".",".",".",".",".",".","."
"","221
001","132","2.508","19.7","15.2","13.6","13.6","15.2","13.6","9.1",".",".",".",".",".",".",".",".","."
"","221
002","195","2.363","16.9","11.3","13.8","12.8","19.5","15.4","9.7",".",".",".",".",".","0.5",".",".","."
"Calculus&Analytic Geometry","Course Total","327","2.422","18.0","12.8","13.8","13.1","17.7","14.7","9.5",".",".",".",".",".","0.3",".",".","."
"","222
001","181","2.997","32.0","14.9","22.7","4.4","18.2","3.9","3.9",".",".",".",".",".",".",".",".","."
"","222
002","215","2.624","21.4","17.7","13.0","11.6","18.1","9.3","8.4","0.5",".",".",".",".",".",".",".","."
"","222
003","168","2.679","26.8","6.0","25.0","4.8","22.0","8.9","6.5",".",".",".",".",".",".",".",".","."
"","222
004","137","2.682","31.4","4.4","21.2","2.2","24.1","10.2","6.6",".",".",".",".",".",".",".",".","."
"Calculus&Analytic Geometry","Course Total","701","2.745","27.4","11.6","20.0","6.3","20.3","8.0","6.4","0.1",".",".",".",".",".",".",".","."
"","234
001","200","2.988","19.5","23.5","22.5","17.0","12.0","4.5","1.0",".",".",".",".",".",".",".",".","."
"","234
002","166","2.967","28.3","10.8","30.1","9.0","14.5","3.6","3.6",".",".",".",".",".",".",".",".","."
"","234
003","177","2.773","23.7","9.6","26.0","8.5","21.5","5.1","5.1",".",".",".",".",".",".",".",".","0.6"
"Calc--Functns of Variables","Course Total","543","2.911","23.6","15.1","26.0","11.8","15.8","4.4","3.1",".",".",".",".",".",".",".",".","0.2"
"Intro to Discrete Mathematics","240
001","27","2.593","18.5","3.7","25.9","18.5","14.8","18.5",".",".",".",".",".",".",".",".",".","."
"Topics in Calculus II","276
001","13","3.038","53.8","7.7","15.4",".","7.7",".","15.4",".",".",".",".",".",".",".",".","."
"","298
002","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","298
004","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","298
009","17","",".",".",".",".",".",".",".",".",".","94.1","5.9",".",".",".",".","."
"","298
015","31","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","298
051","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Directed Study in Math","Course Total","87","",".",".",".",".",".",".",".",".",".","98.9","1.1",".",".",".",".","."
"Theory-Interst & Life Insur","303
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Math Statistics","310
001","10","3.300","50.0","30.0",".","10.0",".",".","10.0",".",".",".",".",".",".",".",".","."
"","319
001","89","3.142","25.8","13.5","40.4","7.9","7.9","3.4",".","1.1",".",".",".",".",".",".",".","."
"","319
002","127","2.681","21.3","8.7","33.1","6.3","13.4","11.0","6.3",".",".",".",".",".",".",".",".","."
"Tech-Ordinary Diff Equation","Course Total","216","2.870","23.1","10.6","36.1","6.9","11.1","7.9","3.7","0.5",".",".",".",".",".",".",".","."
"","320
001","95","2.700","22.1","17.9","15.8","12.6","14.7","10.5","6.3",".",".",".",".",".",".",".",".","."
"","320
002","124","2.734","16.1","14.5","26.6","8.1","24.2","9.7","0.8",".",".",".",".",".",".",".",".","."
"","320
003","94","3.186","14.9","40.4","27.7","11.7","2.1","1.1","2.1",".",".",".",".",".",".",".",".","."
"Linear Alg & Diff Equations","Course Total","313","2.859","17.6","23.3","23.6","10.5","14.7","7.3","2.9",".",".",".",".",".",".",".",".","."
"Appl Mathematical Analysis","321
001","29","2.607","6.9","13.8","20.7","20.7","27.6","6.9",".",".",".",".",".",".",".","3.4",".","."
"Appl Mathematical Analysis","322
001","13","3.000","46.2","7.7","15.4","7.7","7.7","7.7","7.7",".",".",".",".",".",".",".",".","."
"Intro:Prob&Markov Chain Mod","331
002","19","2.861","26.3","5.3","31.6",".","21.1","10.5",".","5.3",".",".",".",".",".",".",".","."
"","340
001","52","3.038","28.8","15.4","30.8","11.5","5.8","1.9","5.8",".",".",".",".",".",".",".",".","."
"","340
002","65","2.914","30.8","13.8","23.1","3.1","15.4","7.7","4.6","1.5",".",".",".",".",".",".",".","."
"Elem Matrix&Linear Algebra","Course Total","117","2.970","29.9","14.5","26.5","6.8","11.1","5.1","5.1","0.9",".",".",".",".",".",".",".","."
