"ART DEPARTMENT","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"168
ART","","","","","","","","","","","","","","","","","","",""
"","996
071","10","3.971","80.0","10.0",".",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"Advanced Research-Graphics","Course Total","38","3.941","89.5","2.6","5.3",".",".",".",".",".",".",".",".",".","2.6",".",".","."
"","999
002","18","3.883","72.2","27.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","999
005","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","999
006","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","999
007","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","999
008","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","999
009","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","999
010","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","999
011","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","999
012","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","999
013","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
015","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","999
016","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
020","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
022","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
024","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","999
025","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","999
031","8","3.933","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","999
034","6","3.875","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","999
045","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
050","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","999
057","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","999
059","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
061","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
071","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
074","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","999
076","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
077","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","999
080","10","3.960","90.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","999
098","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","213","3.984","96.2","2.8","0.9",".",".",".",".",".",".",".",".",".",".",".",".","."
