"ELECTRICAL AND COMPUTER E Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"320
E C E","","","","","","","","","","","","","","","","","","","",""
"Synchronous Machines","Course Total","","10","3.550","40.0","30.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"525
Introduction to Plasmas","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"527
Plasma Confinement&Heating","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"544
Processing-Electronic Matls","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"547
Adv Com Circuit Dsgn","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"549
IC Fabrication Lab","001","","10","3.650","60.0","20.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"551
Digital Sys Design & Synthesis","001","","40","3.000","20.0","17.5","25.0","22.5","12.5","2.5",".",".",".",".",".",".",".",".",".","."
"552
Intro-Computer Architecture","001","","30","3.317","26.7","23.3","36.7","13.3",".",".",".",".",".",".",".",".",".",".",".","."
"554
Digital Engineering Lab","001","","16","3.594","37.5","43.8","18.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"556
Dsgn Automation Digital Sys","001","","32","3.250","25.0","28.1","31.3","9.4","3.1","3.1",".",".",".",".",".",".",".",".",".","."
"577
Automatic Controls Lab","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"601
Topics-Elec&Computer Engr","001","","9","3.611","55.6","33.3",".",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"699","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","035","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","061","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","062","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","066","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","068","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","072","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","080","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","26","3.883","80.8","3.8","7.7",".",".",".",".","7.7",".",".",".",".",".",".",".","."
"711","001","","13","3.692","46.2","46.2","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"711","003","","6","3.083","16.7","33.3","16.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".","."
"711","004","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Dynamcs& Control-AC Drives","Course Total","","24","3.438","29.2","41.7","20.8","4.2","4.2",".",".",".",".",".",".",".",".",".",".","."
"713
Electrmgntc Dsgn-AC Machins","001","","12","3.667","91.7",".",".",".",".",".","8.3",".",".",".",".",".",".",".",".","."
"726
Plasma Magnetohydrodynamics","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"729
Thry-Info Proc&Transmission","001","","14","3.286","21.4","42.9","14.3","14.3","7.1",".",".",".",".",".",".",".",".",".",".","."
"730
Probability&Stochastic Proc","001","","16","3.500","37.5","25.0","25.0","6.3",".",".",".","6.3",".",".",".",".",".",".",".","."
"731
Adv Power System Analysis","001","","13","3.808","61.5","38.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"734
VLSI Array-Dig Signal Proc","001","","14","3.571","35.7","42.9","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"738
Adv Digital Image Processng","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"739
Adv Automation & Robotics","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"741
Semiconductor Diode Lasers","001","","14","3.643","42.9","42.9","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"742
Computatnl Meth-Electromagntcs","001","","13","3.750","53.8","30.8","7.7",".",".",".",".",".",".",".",".",".","7.7",".",".","."
