"CHEMISTRY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"224
CHEM","","","","","","","","","","","","","","","","","","","",""
"943","050","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr-Bio-Organic Chemistry","Course Total","","3","***","","","","","","","","","","","","","","","",""
"960
Seminar-Physical Chemistry","002","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"964","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"964","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"964","031","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"964","033","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"964","039","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"964","046","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar: Molecular Dynamics","Course Total","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","026","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","034","","6","",".",".",".",".",".",".",".","83.3",".",".",".","16.7",".",".",".","."
"990","036","","10","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"990","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","047","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","048","","12","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","050","","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","058","","7","",".",".",".",".",".",".",".","85.7","14.3",".",".",".",".",".",".","."
"990","059","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","062","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","068","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","071","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","076","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","082","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Research-Organic","Course Total","","81","",".",".",".",".",".",".",".","85.2","1.2",".",".","13.6",".",".",".","."
"991
Research General","012","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"992","004","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"992","007","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"992","008","","10","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"992","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"992","013","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"992","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"992","021","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"992","022","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"992","024","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"992","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"992","031","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"992","033","","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"992","039","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"992","041","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"November 30, 2010","","","","","","","","","","","","","","","","","","","Page 177 of 405",""
