"ANATOMY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"144
ANATOMY","","","","","","","","","","","","","","","","","","","",""
"611
Systems Neuroscience","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"675","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"675","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"675","003","","29","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"675","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Anatomy","Course Total","","33","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","025","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","043","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","049","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","050","","9","3.591","33.3","22.2","22.2",".",".",".",".","22.2",".",".",".",".",".",".",".","."
"699","055","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","056","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","057","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","058","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","062","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","30","3.873","80.0","6.7","6.7",".",".",".",".","6.7",".",".",".",".",".",".",".","."
"700
Cytoskeletal Dynamics","001","","12","3.542","33.3","41.7","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"711
Integrated Human Anatomy","003","","163","",".",".",".",".",".",".",".","98.2","1.8",".",".",".",".",".",".","."
"990","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","049","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","053","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","056","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","057","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
