"ART HISTORY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"180
ART HIST","","","","","","","","","","","","","","","","","","","",""
"Ancient and Medieval Art","201","001","92","3.293","37.0","25.0","13.0","10.9","3.3","3.3","2.2","5.4",".",".",".",".",".",".",".","."
"Renaissance to Modern Art","202","001","125","3.546","57.6","15.2","11.2","6.4","2.4","2.4","0.8","3.2",".",".",".",".",".",".",".","0.8"
"Survey-Photogrphy:1839-1989","206","001","97","3.242","32.0","30.9","9.3","12.4","2.1","5.2","2.1","3.1","1.0",".",".",".",".",".","2.1","."
"Intro to Afro-American Art","242","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Art & Archaeology-Ancient Rome","304","001","38","3.149","28.9","18.4","26.3","15.8","2.6","2.6","2.6","2.6",".",".",".",".",".",".",".","."
"Chinese Art:10th C. to Present","308","001","47","3.100","12.8","25.5","21.3","21.3","2.1","2.1",".","14.9",".",".",".",".",".",".",".","."
"Study Abroad-Ren/Baroq Art","336","000B","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Italian Baroque Art","341","001","46","2.907","8.7","23.9","21.7","32.6","2.2","2.2","2.2","4.3",".",".",".",".",".","2.2",".","."
"20th Century Art in Europe","351","001","56","3.167","23.2","21.4","19.6","10.7","8.9",".","1.8","14.3",".",".",".",".",".",".",".","."
"Cross-Cult Arts-Atlantc Rim","354","001","54","2.953","14.8","25.9","24.1","20.4","5.6","5.6","1.9","1.9",".",".",".",".",".",".",".","."
"Hist of Amer Art, 1607-Present","364","001","63","3.565","39.7","30.2","11.1","3.2",".",".","1.6","14.3",".",".",".",".",".",".",".","."
"Topics in Medieval Art","415","001","23","3.295","26.1","30.4","17.4","17.4","4.3",".",".",".",".",".",".",".",".","4.3",".","."
"Topics-Italian Renaissance Art","420","001","24","2.841","4.2","33.3","29.2","12.5","4.2",".","8.3","4.2",".",".",".",".","4.2",".",".","."
"Visual Cultures of South Asia","428","001","35","3.156","14.3","20.0","40.0","14.3","2.9",".",".","8.6",".",".",".",".",".",".",".","."
"Topics-Architecturl History","449","001","22","3.444","36.4","22.7","9.1","4.5","9.1",".",".","18.2",".",".",".",".",".",".",".","."
"Hist-Am Vernclr Archtr&Landscp","457","001","29","3.462","34.5","34.5","17.2",".",".",".","3.4","10.3",".",".",".",".",".",".",".","."
"Prosem:Spec Topics-Art Hist","500","001","12","3.273","33.3","16.7","16.7","16.7","8.3",".",".","8.3",".",".",".",".",".",".",".","."
"20th Cent European Art","556","001","11","3.455","36.4","18.2","45.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Proseminar in Chinese Art","576","001","9","3.056","33.3","33.3",".",".","22.2","11.1",".",".",".",".",".",".",".",".",".","."
"Map & Represent Colonial Space","621","001","9","3.611","44.4","33.3","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","682","002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","003","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","","Course Total","5","***","","","","","","","","","","","","","","","",""
"Senior Thesis","692","002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","009","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","5","***","","","","","","","","","","","","","","","",""
"Art & Archaeology-Ancient Rome","704","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","021","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","035","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","6","4.000","83.3",".",".",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"Smr:Spec Topics-Art History","800","001","12","3.773","50.0","41.7",".",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"Smr-Northern European Art","835","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar-American Art","865","001","11","3.773","72.7","9.1","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar in Chinese Art","876","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","006","3","***","","","","","","","","","",".",".",".",".",".",".","."
"November 30, 2010","","","","","","","","","","","","","","","","","","","Page 163 of 405",""
