"PSYCHOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"820
PSYCH","","","","","","","","","","","","","","","","","","",""
"Hum Sexuality-Soc,Psych Iss","160
001","184","3.130","30.4","17.9","25.0","9.8","11.4","1.1","2.7","1.1",".",".",".",".","0.5",".",".","."
"Introduction to Psychology","201
001","16","2.531","12.5","6.3","18.8","25.0","25.0","12.5",".",".",".",".",".",".",".",".",".","."
"","202
001","346","2.838","22.8","16.5","12.7","21.7","18.2","6.1","2.0",".",".",".",".",".",".",".",".","."
"","202
002","305","2.793","16.1","19.3","12.5","27.2","18.0","4.9","1.6","0.3",".",".",".",".",".",".",".","."
"","003
202","322","2.848","17.4","21.4","11.8","27.6","15.2","5.3","1.2",".",".",".",".",".",".",".",".","."
"","004
202","182","2.508","14.8","9.3","19.2","11.0","30.2","10.4","3.8","0.5",".",".",".",".",".",".",".","0.5"
"Introduction to Psychology","Course Total","1155","2.777","18.3","17.5","13.4","23.1","19.2","6.2","2.0","0.2",".",".",".",".",".",".",".","0.1"
"","210
001","58","2.509","15.5","3.4","29.3","8.6","31.0","5.2","6.9",".",".",".",".",".",".",".",".","."
"","210
002","58","2.655","15.5","5.2","25.9","12.1","37.9","1.7","1.7",".",".",".",".",".",".",".",".","."
"","210
003","56","2.777","17.9","5.4","39.3","10.7","19.6","3.6","3.6",".",".",".",".",".",".",".",".","."
"","210
004","62","2.516","14.5","4.8","25.8","11.3","30.6","9.7","3.2",".",".",".",".",".",".",".",".","."
"","005
210","58","2.526","17.2","3.4","27.6","8.6","29.3","8.6","5.2",".",".",".",".",".",".",".",".","."
"Basic Stats for Psychology","Course Total","292","2.594","16.1","4.5","29.5","10.3","29.8","5.8","4.1",".",".",".",".",".",".",".",".","."
"","225
001","46","2.674","15.2","13.0","17.4","21.7","23.9","6.5","2.2",".",".",".",".",".",".",".",".","."
"","225
002","45","2.622","13.3","8.9","22.2","13.3","37.8","2.2","2.2",".",".",".",".",".",".",".",".","."
"","003
225","47","2.649","12.8","6.4","21.3","21.3","36.2","2.1",".",".",".",".",".",".",".",".",".","."
"","225
004","34","2.721","5.9","11.8","32.4","26.5","20.6","2.9",".",".",".",".",".",".",".",".",".","."
"Experimental Psychology","Course Total","172","2.663","12.2","9.9","22.7","20.3","30.2","3.5","1.2",".",".",".",".",".",".",".",".","."
"Honors Crse-Intro to Psych","281
001","21","3.500","42.9","23.8","23.8","9.5",".",".",".",".",".",".",".",".",".",".",".","."
"","311
001","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","311
002","94","3.640","55.3","27.7","8.5","3.2","4.3",".",".","1.1",".",".",".",".",".",".",".","."
"Issues in Psychology","Course Total","106","3.672","60.4","24.5","7.5","2.8","3.8",".",".","0.9",".",".",".",".",".",".",".","."
"Introduction-Human Factors","349
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","386
001","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","386
002","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","386
003","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Psych for Honors","Course Total","35","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","399
031","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
062","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Service Learning in Psychology","Course Total","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Literacy, Brain and Behavior","402
001","69","2.799","15.9","10.1","23.2","29.0","11.6","7.2",".",".",".",".",".",".",".",".","2.9","."
"Intermed Stats for Psychology","410
001","20","3.850","85.0","5.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","411
001","25","3.340","36.0","16.0","32.0","12.0","4.0",".",".",".",".",".",".",".",".",".",".","."
"","411
002","14","3.464","42.9","21.4","28.6",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"","411
003","25","3.880","88.0","8.0",".",".","4.0",".",".",".",".",".",".",".",".",".",".","."
"","411
004","55","3.409","36.4","29.1","21.8","9.1","1.8","1.8",".",".",".",".",".",".",".",".",".","."
"","411
005","25","3.580","48.0","28.0","20.0",".","4.0",".",".",".",".",".",".",".",".",".",".","."
"","411
006","25","3.140","24.0","20.0","40.0","8.0","4.0",".","4.0",".",".",".",".",".",".",".",".","."
"","411
007","28","3.839","75.0","17.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","411
008","23","3.761","65.2","30.4",".",".","4.3",".",".",".",".",".",".",".",".",".",".","."
"","411
009","22","3.500","54.5","13.6","13.6","13.6","4.5",".",".",".",".",".",".",".",".",".",".","."
"","411
010","24","3.146","20.8","8.3","50.0","20.8",".",".",".",".",".",".",".",".",".",".",".","."
"Current Topics - Psychology","Course Total","266","3.500","48.1","20.3","21.1","6.8","3.0","0.4","0.4",".",".",".",".",".",".",".",".","."
"Field Exper in Psychology","412
001","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"November 30, 2010","","","","","","","","","","","","","","","","","","Page 285 of 405",""
