"GEOGRAPHY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"416
GEOG","","","","","","","","","","","","","","","","","","","",""
"Intro to Human Geography","101","001","145","3.149","10.3","33.1","41.4","9.0","4.1","0.7","0.7","0.7",".",".",".",".",".",".",".","."
"","120","001","71","2.923","21.1","18.3","12.7","25.4","19.7","2.8",".",".",".",".",".",".",".",".",".","."
"","120","002","152","2.776","14.5","23.0","16.4","16.4","21.1","6.6","2.0",".",".",".",".",".",".",".",".","."
"Global Phys Environments","","Course Total","223","2.823","16.6","21.5","15.2","19.3","20.6","5.4","1.3",".",".",".",".",".",".",".",".","."
"Physical Systems of Envr","127","001","34","2.838","17.6","8.8","17.6","41.2","11.8","2.9",".",".",".",".",".",".",".",".",".","."
"Resources and People","139","001","47","3.174","29.8","25.5","17.0","8.5","14.9",".","2.1","2.1",".",".",".",".",".",".",".","."
"Map Reading&Interpretation","170","001","175","3.180","26.9","26.9","23.4","12.0","4.0","2.9","2.3","1.7",".",".",".",".",".",".",".","."
"Soil: Ecosystem & Resource","230","001","20","3.300","35.0","25.0","25.0","5.0","5.0","5.0",".",".",".",".",".",".",".",".",".","."
"Russia: An Interdis Survey","253","001","7","3.000",".","42.9","28.6","14.3","14.3",".",".",".",".",".",".",".",".",".",".","."
"Latin America-Introduction","260","001","8","3.789","37.5","25.0",".",".",".",".",".","37.5",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277","001","18","2.917","5.6","16.7","44.4","22.2","11.1",".",".",".",".",".",".",".",".",".",".","."
"Econ Geog: Locational Behav","302","001","28","3.357","42.9","14.3","25.0","7.1","10.7",".",".",".",".",".",".",".",".",".",".","."
"Introduction to the City","305","001","51","3.177","13.7","35.3","35.3","2.0","3.9","2.0","2.0","5.9",".",".",".",".",".",".",".","."
"Landforms-Topics & Regions","326","001","23","3.095","21.7","17.4","30.4",".","21.7",".",".","8.7",".",".",".",".",".",".",".","."
"Landforms&Landscapes-N Amer","329","001","32","3.403","37.5","12.5","37.5","9.4",".",".",".","3.1",".",".",".",".",".",".",".","."
"","339","001","63","2.944","11.1","14.3","46.0","12.7","11.1","3.2",".","1.6",".",".",".",".",".",".",".","."
"","339","002","63","2.762","6.3","22.2","33.3","12.7","17.5","6.3","1.6",".",".",".",".",".",".",".",".","."
"Environmental Conservation","","Course Total","126","2.852","8.7","18.3","39.7","12.7","14.3","4.8","0.8","0.8",".",".",".",".",".",".",".","."
"Europe","349","001","192","3.359","43.8","18.2","16.1","8.3","9.4","2.1",".","1.6",".",".",".",".","0.5",".",".","."
"Quantitative Meth-Geog Anal","360","001","63","2.786","19.0","9.5","34.9","17.5","7.9","4.8","6.3",".",".",".",".",".",".",".",".","."
"Introduction to Cartography","370","001","34","3.359","35.3","14.7","35.3",".","8.8",".",".","2.9",".",".",".",".","2.9",".",".","."
"Intro to Geog Info Systems","377","001","35","3.329","40.0","17.1","22.9","8.6","11.4",".",".",".",".",".",".",".",".",".",".","."
"Seminar","401","001","18","3.406","27.8","38.9","16.7",".",".","5.6",".","11.1",".",".",".",".",".",".",".","."
"Glacial&Pleistocene Geology","420","001","7","2.833","28.6",".","28.6",".","14.3","14.3",".","14.3",".",".",".",".",".",".",".","."
"Space&Place-A Geog Expernce","501","001","11","2.864","18.2","27.3","9.1","18.2","18.2","9.1",".",".",".",".",".",".",".",".",".","."
"Culture and Environment","537","001","29","3.018","20.7","10.3","34.5","13.8","17.2",".",".","3.4",".",".",".",".",".",".",".","."
"Colloq-Undergraduate Majors","565","001","65","3.785","61.5","33.8","4.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Animated & Web-based Mapping","575","001","11","3.200","27.3","18.2","18.2","18.2","9.1",".",".","9.1",".",".",".",".",".",".",".","."
"GIS Applications","578","001","21","3.571","42.9","28.6","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","602","010","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","602","038","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Internship","","Course Total","6","",".",".",".",".",".",".",".",".",".","66.7",".",".",".",".",".","."
"","676","001","18","3.194","27.8","33.3","22.2","5.6",".","11.1",".",".",".",".",".",".",".",".",".","."
"","676","003","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics in Geography","","Course Total","23","3.152","30.4","34.8","17.4","4.3",".","8.7","4.3",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis","681","032","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","005","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","038","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","042","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","070","16","3.909","81.3","18.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","100","1","***","","","","","","","","","",".",".",".",".",".",".","."
"November 30, 2010","","","","","","","","","","","","","","","","","","","Page 212 of 405",""
