"","990
058","1","***","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","990
060","2","***","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","990
064","1","***","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Research","Course Total","14","3.632","92.9",".",".","",".","",".","7.1","",".","",".","",".",".","",".","",".","",".",".",".","."
"OBS&GYN
436","Dept. Total","113","3.629","42.5","53.1","3.5","",".","",".","0.9","",".","",".","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","","C","","D","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"436
OBS&GYN","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","","3","3.875","66.7","33.3",".","",".","",".",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","6","3.889","83.3",".","16.7","",".","",".",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","9","3.885","77.8","11.1","11.1","",".","",".",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Graduate","","19","3.661","94.7",".",".","",".","",".","5.3","",".","",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","","84","3.611","26.2","70.2","3.6","",".","",".",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 4","","1","4.000","100.0",".",".","",".","",".",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Professionals","","85","3.612","27.1","69.4","3.5","",".","",".",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","113","3.629","42.5","53.1","3.5","",".","",".","0.9","",".","",".","",".",".","",".","",".","",".",".",".","."
