"PSYCHOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"820
PSYCH","","","","","","","","","","","","","","","","","","","",""
"","699
025","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
040","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
051","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
053","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
062","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
066","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
071","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","44","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prosmr-Experimental Psych","701
001","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prosmr in Social Psychology","703
001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Proseminar-Clinical Psych","704
001","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prosmr-Developmental Psych","706
001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Proseminar-Biological Psych","707
001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Dsgn&Anal-Psych Experiments","710
001","","14","3.357","57.1",".","21.4","14.3",".","7.1",".",".",".",".",".",".",".",".",".","."
"","711
001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","711
002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","711
003","","8","3.773","62.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Current Topics in Psych","Course Total","","20","3.896","85.0","10.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lang&Cognitive Development","715
001","","11","3.773","63.6","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","733
001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","733
002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Perceptual&Cognitive Sciences","Course Total","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clin I: Assmnt, Etiol&Trtmt","740
002","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","741
001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","741
002","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clin II:Assmnt, Etiol&Trtmt","Course Total","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Teaching of Psychology","776
001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Reading","799
045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","805
001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","805
002","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Field Work-Clinical Psych","Course Total","","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Mathematical Psychology","916
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","918
001","","12","4.000","91.7",".",".",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"","918
002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar-General Psychology","Course Total","","14","4.000","85.7",".",".",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"Interdis Smr-Animal Behav","950
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
011","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
014","","4","***","","","","","","","","","",".",".",".",".",".",".","."
