"","765
002","6","4.000","83.3",".",".",".",".",".",".","16.7",".","",".",".","",".","",".","",".",".","."
"","765
003","3","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Contemporary Topics","Course Total","15","3.783","73.3","6.7","6.7",".",".",".","6.7","6.7","",".",".","",".","",".","",".",".",".","."
"PhD Communicatn-Dissertsators","975
001","10","",".",".",".",".",".",".",".",".",".","","100.0",".","",".","",".","",".",".","."
"GEN BUS
231","Dept. Total","1435","3.436","41.3","20.3","23.5","4.7","4.5","0.7","0.4","0.6","",".","3.8","",".","",".","",".","0.2","0.1","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"231
GEN BUS","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","2","3.000",".",".","50.0",".",".",".",".",".","",".","50.0","",".","",".","",".",".",".","."
"Sophomore","","33","3.764","54.5",".","15.2","3.0",".",".",".",".","",".","27.3","",".","",".","",".",".",".","."
"Junior","","432","3.467","47.9","16.2","22.9","3.5","3.5","1.4","0.9",".","",".","3.5","",".","",".","",".","0.2",".","."
"Senior","","753","3.385","38.2","20.5","25.1","6.4","6.4","0.5","0.1","0.1","",".","2.4","",".","",".","",".","0.3",".","."
"Undergraduates","","1220","3.420","42.0","18.4","24.1","5.2","5.2","0.8","0.4","0.1","",".","3.5","",".","",".","",".","0.2",".","."
"Special","","11","3.000","18.2",".","27.3",".","18.2",".",".","27.3","",".",".","",".","",".","",".",".","9.1","."
"Graduate","","200","3.637","37.0","33.5","20.0","1.5",".",".","0.5","2.0","",".","5.5","",".","",".","",".",".",".","."
"Prof Yr 2","","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","","2","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 4","","1","",".",".",".",".",".",".",".",".","",".","100.0","",".","",".","",".",".",".","."
"Professionals","","4","4.000","75.0",".",".",".",".",".",".",".","",".","25.0","",".","",".","",".",".",".","."
"","Dept. Total","1435","3.436","41.3","20.3","23.5","4.7","4.5","0.7","0.4","0.6","",".","3.8","",".","",".","",".","0.2","0.1","."
