"BUS","","","","","","","","","","","","","","","","","","","",""
"TRANSPORTATION AND PUBLIC  Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"243
TRAN P U","","","","","","","","","","","","","","","","","","","",""
"","325
001","","9","3.611","55.6","33.3",".",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"","325
002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Public Utilities","Course Total","","13","3.385","38.5","38.5",".","7.7","15.4",".",".",".",".",".",".",".",".",".",".","."
"Urban Transport Economics","478
001","","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Energy Economics","671
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","725
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","725
002","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Public Utilities","Course Total","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
