"BUS","","","","","","","","","","","","","","","","","","","",""
"ACCOUNTING AND INFO SYSTE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"232
ACCT I S","","","","","","","","","","","","","","","","","","","",""
"","406
002","","35","3.100","28.6","8.6","34.3","11.4","17.1",".",".",".",".",".",".",".",".",".",".","."
"Advanced Financial Reporting","Course Total","","49","3.153","32.7","12.2","26.5","10.2","18.4",".",".",".",".",".",".",".",".",".",".","."
"Acct Internshp & Prac Rsch","600
001","","87","3.920","83.9","16.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pro Prac Iss-Acct & Auditng","601
001","","88","3.563","36.4","39.8","23.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","603
001","","41","3.816","68.3","17.1","4.9","2.4",".",".",".",".",".",".",".",".",".",".","7.3","."
"","603
002","","42","3.705","57.1","21.4","11.9",".","2.4",".",".","2.4",".",".",".",".",".",".","4.8","."
"Financial Statement Analysis","Course Total","","83","3.760","62.7","19.3","8.4","1.2","1.2",".",".","1.2",".",".",".",".",".",".","6.0","."
"","620
001","","38","3.289","31.6","15.8","44.7","5.3",".",".","2.6",".",".",".",".",".",".",".",".","."
"","620
002","","41","3.220","22.0","34.1","19.5","19.5","2.4","2.4",".",".",".",".",".",".",".",".",".","."
"Fundamentals of Taxation","Course Total","","79","3.253","26.6","25.3","31.6","12.7","1.3","1.3","1.3",".",".",".",".",".",".",".",".","."
"Audit and Assurance Services","630
001","","51","3.608","56.9","11.8","29.4",".","2.0",".",".",".",".",".",".",".",".",".",".","."
"","631
001","","28","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","631
002","","23","3.870","73.9","26.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Info Tech, Risk&Assurance Serv","Course Total","","51","3.863","72.5","27.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","701
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","701
004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Financial Reporting I","Course Total","","2","***","","","","","","","","","","","","","","","",""
"Financial Reporting II","702
002","","10","3.850","70.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","706
001","","13","3.885","76.9","23.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","706
002","","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Financial Reporting","Course Total","","23","3.913","82.6","17.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Taxation of Pass-Thru Entities","722
001","","16","3.563","56.3","12.5","25.0",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"Federal Estate&Gift Taxatn","723
001","","17","3.735","52.9","41.2","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
002","","23","3.739","52.2","43.5","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
003","","19","3.500","15.8","68.4","15.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
030","","42","3.655","40.5","50.0","9.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","","84","3.643","38.1","52.4","9.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Strateg Cost Mgmt&Perf Measrmt","771
001","","19","3.974","94.7","5.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Reading&Research-Accounting","799
085","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr-Accounting Research","971
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Accounting","990
085","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
075","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
077","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
085","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
122","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
136","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Readng & Rsch-Accountng PhD","Course Total","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
