"CURRICULUM AND INSTRUCTIO Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"272
CURRIC","","","","","","","","","","","","","","","","","","","",""
"Stdt Teaching Engl-Mid Schl","472
001","","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Stdt Teach-Science in H.S.","490
001","","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Student Teaching in HS Math","494
001","","7","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Stdt Teach Sci-MiddleSchl","495
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Stdt Teaching-English in HS","496
001","","7","",".",".",".",".",".",".",".",".",".","85.7","14.3",".",".",".",".","."
"Stdt Teach-Middle Schl Math","497
001","","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Stdt Teaching-Middle School","498
001","","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Health Info for Teachers","501
001","","43","3.837","72.1","23.3","4.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Literacy Across the Curriculum","503
001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Literacy Assessmnt&Interventn","504
001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","506
001","","29","3.879","86.2","10.3",".",".","3.4",".",".",".",".",".",".",".",".",".",".","."
"","002
506","","30","3.767","56.7","40.0","3.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Strategy-Inclusive Schoolng","Course Total","","59","3.822","71.2","25.4","1.7",".","1.7",".",".",".",".",".",".",".",".",".",".","."
"Instrctnl Computn-Schools I","514
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Holocaust: Hist, Memory & Educ","515
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","537
001","","25","3.940","88.0","12.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","537
002","","26","3.885","84.6","7.7","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Teaching Diverse Learners","Course Total","","51","3.912","86.3","9.8","3.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Org&Adm-School Hlth Progms","541
001","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Teacher Ed-Alcohol & Drugs","542
001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Probs-Teaching World Lang","564
001","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar on Literacy","604
001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fld Proj-Lib&Info Agencies","620
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Action Research in Schools","626
002","","32","4.000","96.9",".",".",".",".",".",".",".",".",".",".",".","3.1",".",".","."
"Wrkshp-Schl Program Develop","630
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Early Childhood Education","660
001","","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Elem School Curriculum","662
001","","16","3.719","87.5","6.3",".",".",".",".","6.3",".",".",".",".",".",".",".",".","."
"Prosem in Music Education","671
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Learning 2nd Lang & Literacies","673
001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","675
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","675
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","675
003","","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","675
004","","11","4.000","90.9",".",".",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"","675
004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","Section Total","","12","4.000","91.7",".",".",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"","675
005","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","675
006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","675
007","","28","3.776","67.9","28.6","3.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","675
008","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","675
008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","Section Total","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","675
009","","17","4.000","76.5",".",".",".",".",".",".",".",".",".",".",".",".",".","23.5","."
"November 30, 2010","","","","","","","","","","","","","","","","","","","","Page 83 of 405"
