"HISTORY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"448
HISTORY","","","","","","","","","","","","","","","","","","","",""
"819
History of Mass Communication","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"829
Resrch Smr-Latin Amer Hist","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"845","001","","11","3.885","72.7","18.2",".",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"845","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr-Central European Hist","Course Total","","12","3.897","75.0","16.7",".",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"849
Smr-Hist Imp Russia, 1649-1917","001","","7","3.763","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"855
Smr-Modern Japanese History","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"861
Seminar-History of Africa","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"867
Smr:European Soc&Intel Hist","002","","9","3.891","66.7","22.2",".",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"901","001","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"901","002","","16","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"901","003","","8","3.826","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Studies in American History","Course Total","","32","3.911","81.3","18.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"929
Labor & Working Class Hist-US","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"940
Smr-Amer History 1900-1945","001","","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"942
Amer Indian Hist, 1800-present","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","004","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","013","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","7","",".",".",".",".",".",".",".","28.6",".",".",".",".",".",".","71.4","."
"990","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","026","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","028","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","029","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","032","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","034","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","037","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","041","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","046","","6","",".",".",".",".",".",".",".","83.3",".",".",".","16.7",".",".",".","."
