"AGRICULTURAL AND APPLIED E Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"108
A A E","","","","","","","","","","","","","","","","","","","",""
"215","001","","133","3.365","30.1","27.1","30.8","9.8","2.3",".",".",".",".",".",".",".",".",".",".","."
"215","002","","131","3.183","9.9","32.1","46.6","7.6","3.8",".",".",".",".",".",".",".",".",".",".","."
"Intro to Agr & Applied Econ","Course Total","","264","3.275","20.1","29.5","38.6","8.7","3.0",".",".",".",".",".",".",".",".",".",".","."
"306
The Real Estate Process","001","","11","2.727","9.1","9.1","36.4","9.1","36.4",".",".",".",".",".",".",".",".",".",".","."
"320
Farming Systems Management","001","","28","3.500","42.9","25.0","25.0","3.6","3.6",".",".",".",".",".",".",".",".",".",".","."
"322
Commodity Markets","001","","60","2.783","13.3","8.3","30.0","21.7","25.0","1.7",".",".",".",".",".",".",".",".",".","."
"344
Environment&Global Economy","001","","67","2.962","28.4","16.4","13.4",".","40.3",".",".","1.5",".",".",".",".",".",".",".","."
"350
World Hunger & Malnutrition","001","","20","3.675","55.0","25.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"373
Globalizatn, Poverty&Develpmnt","001","","26","2.940","30.8","11.5","15.4","15.4","15.4","3.8","3.8","3.8",".",".",".",".",".",".",".","."
"375
Special Topics","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"421
Economic Decision Analysis","001","","22","2.568","13.6","18.2","27.3","4.5","18.2","9.1","9.1",".",".",".",".",".",".",".",".","."
"462
Latin Amer Economc Develpmt","001","","12","2.455","8.3","16.7","33.3",".","8.3","16.7","8.3","8.3",".",".",".",".",".",".",".","."
"520
Community Economic Analysis","001","","6","3.583","50.0","16.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"540
Intellectual Property Rights","001","","6","3.250","33.3","16.7","33.3",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"567
Pub Finance-Less Dev Cntry","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"637
Applied Econometric Anal II","001","","16","3.318","18.8","6.3","43.8",".",".",".",".","6.3",".",".",".",".","25.0",".",".","."
"652
Decisn Meth-Nat Resrc Mangr","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"671
Energy Economics","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","060","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","064","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","074","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","078","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","087","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","9","3.932","66.7","11.1",".",".",".",".",".",".",".",".",".",".","22.2",".",".","."
"707
Institutional Economics","001","","9","3.611","55.6","11.1","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"732
Economics of Development 3","001","","19","3.583","15.8","42.1","5.3",".",".",".",".",".",".",".",".",".","36.8",".",".","."
"760
Dynnamc Natrl Resource Econ","001","","9","3.786","44.4","33.3",".",".",".",".",".",".",".",".",".",".","22.2",".",".","."
"762
Environmental Economics","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"875
Special Topics","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","059","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","063","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","073","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","078","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","080","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","083","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","087","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","088","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","089","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","22","",".",".",".",".",".",".",".","95.5",".",".",".","4.5",".",".",".","."
"999","061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","073","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","083","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"November 30, 2010","","","","","","","","","","","","","","","","","","","","Page 1 of 405"
