"MEDICAL HISTORY AND BIOETH Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","","GPA","","","","","","","","","","","","","","","",""
"452
MED HIST","","","","","","","","","","","","","","","","","","","","",""
"The Physician in History","212","001","","42","3.131","16.7","40.5","26.2","4.8","7.1",".","4.8",".",".",".",".",".",".",".",".","."
"Physician in Hist (Honors)","284","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Childbirth in the US","431","001","","13","3.833","61.5","30.8",".",".",".",".",".",".",".",".",".",".",".","7.7",".","."
"Health, Disease&Healing II","508","001","","16","3.469","37.5","18.8","43.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ethical Probs-Biomed Tech","558","001","","32","3.125","15.6","34.4","25.0","15.6","6.3","3.1",".",".",".",".",".",".",".",".",".","."
"Topics-Ethics & Hist of Med","559","001","","17","3.941","94.1",".","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Byzantine Med & Pharmacy","562","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Ethics of Modern Biotechnology","565","001","","8","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in History of Med","668","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Ind Study in Med History","","Course Total","","3","***","","","","","","","","","","","","","","","",""
"Health, Disease and Healing II","708","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Hist Perspectives-Medicine","720","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ethical Issues in Medicine","730","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Grad Studies in Med Ethics","734","003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading and Research","890","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Grad Studies-Medical Hist","919","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","","Course Total","","3","***","","","","","","","","","","","","","","","",""
"MED HIST
452","","Dept. Total","","162","3.436","43.2","25.3","19.1","4.3","3.1","0.6","1.2","1.2",".",".",".",".","1.2","0.6",".","."
