"LIBRARY & INFORMATION STUD Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"544
L I S","","","","","","","","","","","","","","","","","","","",""
"Divides&Differences-Multicultr","202
001","","144","3.389","29.9","29.2","29.9","4.9","2.8","0.7",".","2.8",".",".",".",".",".",".",".","."
"Independent Reading & Research","399
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","451
001","","42","3.762","66.7","21.4","9.5","2.4",".",".",".",".",".",".",".",".",".",".",".","."
"","451
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Foundatns of Reference Service","Course Total","","43","3.767","67.4","20.9","9.3","2.3",".",".",".",".",".",".",".",".",".",".",".","."
"","551
001","","37","3.784","59.5","37.8","2.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","551
002","","20","3.750","60.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Organization of Information","Course Total","","57","3.772","59.6","35.1","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Records Management","616
001","","18","3.806","61.1","38.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Health Information Systems","617
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","620
001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","620
002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Fld Proj-Lib&Info Agencies","Course Total","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Childrens Literature","622
001","","11","3.850","63.6","27.3",".",".",".",".",".",".",".",".",".",".",".",".",".","9.1"
"","629
001","","31","3.633","61.3","12.9","12.9","6.5","3.2",".",".","3.2",".",".",".",".",".",".",".","."
"","629
002","","7","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","629
003","","8","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Multicult Lit-Chld&Yng Adlt","Course Total","","46","3.678","58.7","23.9","8.7","4.3","2.2",".",".","2.2",".",".",".",".",".",".",".","."
"Young Adult Literature","631
001","","28","3.946","89.3","10.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Reference & Info Service","635
001","","24","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","639
001","","13","3.833","69.2","15.4","7.7",".",".",".",".",".",".",".",".",".","7.7",".",".","."
"","639
002","","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Information Literacy Pedagogy","Course Total","","19","3.833","68.4","21.1","5.3",".",".",".",".",".",".",".",".",".","5.3",".",".","."
"","640
001","","9","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","640
002","","21","3.895","71.4","19.0",".",".",".",".",".","4.8",".",".",".",".","4.8",".",".","."
"Topics-Library&Informatn St","Course Total","","30","3.875","70.0","23.3",".",".",".",".",".","3.3",".",".",".",".","3.3",".",".","."
"Reading Interests of Adults","642
001","","17","3.882","76.5","23.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intellectual Freedom&Libr","645
001","","12","3.583","41.7","50.0",".",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"Cataloging & Classification","651
001","","24","3.750","79.2","16.7",".",".",".",".","4.2",".",".",".",".",".",".",".",".","."
"","654
001","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","654
002","","15","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Info Services Management","Course Total","","31","3.984","96.8","3.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","655
001","","20","3.825","75.0","15.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","655
002","","27","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Collection Management","Course Total","","47","3.830","70.2","25.5","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Information Ethics and Policy","661
001","","21","3.738","61.9","28.6","4.8","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"Res Methods-Libr&Info Study","710
001","","9","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Corporate&Special Info Serv","732
001","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","772
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","772
002","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","772
003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Lib Serv-Chldrn&Young Adult","Course Total","","19","3.947","94.7",".","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fld Project-Lib&Info Literacy","826
001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"November 30, 2010","","","","","","","","","","","","","","","","","","","Page 250 of 405",""
