"MARKETING","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"237
MARKETNG","","","","","","","","","","","","","","","","","","","",""
"Contemporary Topics","Course Total","","75","3.754","64.0","32.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"799","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","107","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"799","160","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","220","","37","3.970","94.6","2.7","2.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Reading & Rsch-Marketing","Course Total","","43","3.974","95.3","2.3","2.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"805
Qual-Based Marketing Insights","001","","23","3.804","60.9","39.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"815
Quant Models in Marketing","001","","17","3.765","52.9","47.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"972
Seminar-Marketing PhD","001","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990
PhD Thesis-Marketing","144","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","107","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","138","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","155","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","160","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","161","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Readng & Rsch-Marketing PhD","Course Total","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
