"TERM : 1094","","","","Percentage Distribution of Grades","","","","","","","","","","","","","","","Office of the Registrar","",""
"Spring 2008-2009","","","","","","","","","","","","","","","","","","","Institutional Reporting","",""
"","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","",""
"","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","",""
"MED","","","","","","","","","","","","","","","","","","","","",""
"POPULATION HEALTH SCIENCE Section","#","Ave","A","AB","B","BC","C","","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"810
POP HLTH","","","","","","","","","","","","","","","","","","","","",""
"POP HLTH
Dept. Total
810","571","3.774","67.1","16.8","4.6","0.7","",".","0.4","0.4","8.4","",".",".","",".","0.4","1.1","0.2",".","0.2"
"Summary by Level","#","Ave","A","AB","B","BC","C","","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"810
POP HLTH","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","1","4.000","100.0",".",".",".","",".",".",".",".","",".",".","",".",".",".",".",".","."
"Junior","32","3.705","71.9","18.8","3.1","3.1","",".",".",".",".","",".",".","",".",".","3.1",".",".","."
"Senior","105","3.703","78.1","11.4","4.8","1.9","",".","1.0","1.0","1.0","",".",".","",".",".",".",".",".","1.0"
"Undergraduates","138","3.706","76.8","13.0","4.3","2.2","",".","0.7","0.7","0.7","",".",".","",".",".","0.7",".",".","0.7"
"Special","16","3.906","81.3","12.5",".",".","",".",".",".","6.3","",".",".","",".",".",".",".",".","."
"Graduate","160","3.843","60.0","15.0","3.1",".","",".",".",".","20.6","",".",".","",".","1.3",".",".",".","."
"Prof Yr 1","26","3.923","42.3","7.7",".",".","",".",".",".","50.0","",".",".","",".",".",".",".",".","."
"Prof Yr 2","9","3.941","88.9","11.1",".",".","",".",".",".",".","",".",".","",".",".",".",".",".","."
"Prof Yr 3","10","3.861","70.0","20.0",".",".","",".",".",".",".","",".",".","",".",".","10.0",".",".","."
"Prof Yr 4","212","3.746","67.0","22.2","7.1","0.5","",".","0.5","0.5",".","",".",".","",".",".","1.9","0.5",".","."
"Professionals","257","3.763","65.4","20.2","5.8","0.4","",".","0.4","0.4","5.1","",".",".","",".",".","1.9","0.4",".","."
"Dept. Total","571","3.774","67.1","16.8","4.6","0.7","",".","0.4","0.4","8.4","",".",".","",".","0.4","1.1","0.2",".","0.2"
