"STATISTICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"932
STAT","","","","","","","","","","","","","","","","","","",""
"","224
001","86","3.244","34.9","17.4","27.9","5.8","12.8",".","1.2",".",".",".",".",".",".",".",".","."
"","224
002","65","3.208","23.1","24.6","30.8","13.8","7.7",".",".",".",".",".",".",".",".",".",".","."
"Intro Stats for Engineers","Course Total","151","3.228","29.8","20.5","29.1","9.3","10.6",".","0.7",".",".",".",".",".",".",".",".","."
"","301
001","64","3.143","34.4","15.6","23.4","6.3","15.6",".","3.1","1.6",".",".",".",".",".",".",".","."
"","301
002","133","3.192","38.3","12.8","26.3","4.5","15.0","0.8","2.3",".",".",".",".",".",".",".",".","."
"","301
003","141","3.161","28.4","16.3","29.8","17.0","4.3","2.8","0.7",".",".",".",".",".",".",".","0.7","."
"","301
004","143","3.164","33.6","13.3","26.6","12.6","10.5","3.5",".",".",".",".",".",".",".",".",".","."
"","301
005","138","3.250","31.9","15.9","31.2","15.2","5.1",".","0.7",".",".",".",".",".",".",".",".","."
"","301
006","55","3.145","49.1","9.1","16.4","1.8","12.7","7.3","3.6",".",".",".",".",".",".",".",".","."
"","301
007","61","3.150","31.1","11.5","29.5","11.5","13.1","1.6",".","1.6",".",".",".",".",".",".",".","."
"Intro-Statistical Methods","Course Total","735","3.180","34.1","14.0","27.2","11.0","9.9","2.0","1.2","0.3",".",".",".",".",".",".","0.1","."
"Intro to Math Statistics","310
001","38","3.053","26.3","31.6","18.4","10.5","2.6","2.6","7.9",".",".",".",".",".",".",".",".","."
"Intro to Mathematical Stat","311
001","67","3.187","37.3","11.9","23.9","16.4","6.0","3.0","1.5",".",".",".",".",".",".",".",".","."
"Intro to Mathematical Stat","312
001","57","3.228","31.6","17.5","33.3","3.5","12.3","1.8",".",".",".",".",".",".",".",".",".","."
"Intro Applied Stats for Engrs","324
001","87","3.161","21.8","24.1","29.9","12.6","11.5",".",".",".",".",".",".",".",".",".",".","."
"Applied Regression Analysis","333
001","43","3.275","27.9","32.6","18.6","9.3",".",".","4.7","7.0",".",".",".",".",".",".",".","."
"Introduction to Time Series","349
001","24","3.675","50.0","20.8","4.2","8.3",".",".",".","16.7",".",".",".",".",".",".",".","."
"","371
001","133","3.199","34.6","18.0","21.8","12.8","8.3","4.5",".",".",".",".",".",".",".",".",".","."
"","371
002","132","3.223","32.6","16.7","28.8","11.4","9.1","0.8","0.8",".",".",".",".",".",".",".",".","."
"","371
003","113","3.053","24.8","18.6","28.3","9.7","15.0","1.8","1.8",".",".",".",".",".",".",".",".","."
"Intro Applied Stats-Life Sci","Course Total","378","3.164","31.0","17.7","26.2","11.4","10.6","2.4","0.8",".",".",".",".",".",".",".",".","."
"Stat Expermntl Design-Engrs","424
001","27","3.426","25.9","40.7","29.6",".","3.7",".",".",".",".",".",".",".",".",".",".","."
"","431
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","431
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro-Theory of Probability","Course Total","6","1.917","16.7","16.7","16.7",".",".","16.7","33.3",".",".",".",".",".",".",".",".","."
"Intro to Biostats for Phamacy","441
001","134","3.302","36.6","14.2","34.3","4.5","9.7","0.7",".",".",".",".",".",".",".",".",".","."
"Intro-Combinatorics","475
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Linear Programming Methods","525
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Clinical Trials I","542
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Stat Meth for Bioscience II","572
001","54","3.594","40.7","35.2","22.2",".",".",".",".",".",".",".",".",".",".",".","1.9","."
"Intro-Statistical Inference","610
001","9","3.778","55.6","44.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Stochastic Processes","632
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","682
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","698
095","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","698
231","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Directed Study","Course Total","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","699
095","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
138","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
146","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","4","***","","","","","","","","","","","","","","","",""
"Mathematical Statistics","710
001","15","3.567","33.3","46.7","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Survival Anal Thry & Mthds","741
001","13","3.773","46.2","38.5",".",".",".",".",".","15.4",".",".",".",".",".",".",".","."
"Statistical Computing","771
001","34","3.726","52.9","26.5","11.8",".",".",".",".","8.8",".",".",".",".",".",".",".","."
"November 30, 2010","","","","","","","","","","","","","","","","","","Page 310 of 405",""
