"","930
015","11","3.955","90.9","9.1",".",".","","",".",".","",".","",".","",".","",".",".","",".","",".","",".",".","."
"","930
016","10","3.550","40.0","30.0","30.0",".","","",".",".","",".","",".","",".","",".",".","",".","",".","",".",".","."
"","930
017","11","3.864","72.7","27.3",".",".","","",".",".","",".","",".","",".","",".",".","",".","",".","",".",".","."
"Adv Cardiac Life Supprt (ACLS)","Course Total","43","3.814","69.8","23.3","7.0","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"ANESTHES
148","Dept. Total","150","3.844","71.3","24.7","4.0","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","","C","","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","","",""
"148
ANESTHES","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","1","4.000","100.0",".",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Junior","","2","4.000","100.0",".",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","3","4.000","100.0",".",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","6","4.000","100.0",".",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","","42","3.857","71.4","28.6",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 4","","102","3.823","69.6","24.5","5.9","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Professionals","","144","3.835","70.1","25.7","4.2","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","150","3.844","71.3","24.7","4.0","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"November 30, 2010","","","","","","","","","","","","","","","","","","","","","","","","","","","Page 333 of 405",""
