"","946
003","","1","***","","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","946
005","","1","***","","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","946
007","","1","***","","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Child Psych Clerk-CSC","Course Total","","3","***","","","","","","","","","","","","","","","","","","","","","","","","",""
"PSYCHIAT
814","Dept. Total","","86","3.574","31.4","54.7","14.0","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","","C","","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","","",""
"814
PSYCHIAT","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","","","2","3.500","50.0",".","50.0","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","","4","4.000","100.0",".",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","","6","3.875","83.3",".","16.7","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","","","76","3.547","25.0","60.5","14.5","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 4","","","4","3.900","75.0","25.0",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Professionals","","","80","3.558","27.5","58.8","13.8","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","","86","3.574","31.4","54.7","14.0","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
