"EDUCATIONAL PSYCHOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"315
ED PSYCH","","","","","","","","","","","","","","","","","","",""
"","301
001","158","3.491","43.0","27.8","18.4","8.2","1.9",".","0.6",".",".",".",".",".",".",".",".","."
"","301
002","114","3.739","59.6","29.8","7.9","0.9","0.9",".",".",".",".",".",".",".",".",".",".","0.9"
"Human Abilities & Learning","Course Total","272","3.594","50.0","28.7","14.0","5.1","1.5",".","0.4",".",".",".",".",".",".",".",".","0.4"
"Human Dev-Infancy&Childhood","320
001","168","3.482","36.9","38.7","13.7","4.8","4.8","0.6",".","0.6",".",".",".",".",".",".",".","."
"","321
003","94","2.967","23.4","21.3","23.4","12.8","8.5","7.4","3.2",".",".",".",".",".",".",".",".","."
"","321
004","97","3.526","47.4","22.7","20.6","6.2","3.1",".",".",".",".",".",".",".",".",".",".","."
"Human Develop-Adolescence","Course Total","191","3.271","35.6","22.0","22.0","9.4","5.8","3.7","1.6",".",".",".",".",".",".",".",".","."
"Hum Devel Chldhood-Adolescn","331
001","76","3.362","32.9","31.6","21.1","6.6","6.6","1.3",".",".",".",".",".",".",".",".",".","."
"","699
006","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
013","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
014","8","4.000","87.5",".",".",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"","699
047","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
054","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
057","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Ind Reading-Undergrad","Course Total","15","3.945","80.0","13.3",".",".",".",".",".",".",".",".",".",".","6.7",".",".","."
"Seminar-Research in Ed Psyc II","710
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","711
006","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","711
008","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","711
009","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","711
010","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Current Topics-Ed Psych","Course Total","43","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adolescent Development","721
001","9","3.875","66.7","22.2",".",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"Theory & Issues-Human Dev","725
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Lab-Developmental Research","731
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Cog Assess-Children in Schools","740
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Assessment of Acad Skill Probs","742
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","761
001","45","3.886","77.8","17.8","2.2",".",".",".",".","2.2",".",".",".",".",".",".",".","."
"","761
002","33","3.879","75.8","24.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Stat Meth-Applied to Ed II","Course Total","78","3.883","76.9","20.5","1.3",".",".",".",".","1.3",".",".",".",".",".",".",".","."
"Intro to Learning Sciences II","796
001","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","840
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","840
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","840
003","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Clinical Pract-School Psych","Course Total","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Psychophm Treat-Chld&Adolescnt","845
001","17","3.781","52.9","41.2",".",".",".",".",".","5.9",".",".",".",".",".",".",".","."
"Multivariate Analysis","862
001","9","3.875","66.7","22.2",".",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"Capstone Smr in Prevention Sci","881
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar-Child Development","920
001","11","3.611","27.3","45.5","9.1",".",".",".",".","9.1",".",".",".",".","9.1",".",".","."
"Sysms-Consltn in Schl Psych","942
001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Internshp-School Psychology","943
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar in School Psychology","948
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Structural Equation Modeling","960
001","35","3.911","68.6","8.6","2.9",".",".",".",".","5.7",".",".",".",".",".",".","14.3","."
"Adv Smr-Educ Measuremnt&Stats","971
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"November 30, 2010","","","","","","","","","","","","","","","","","","","Page 91 of 405"
