"ZOOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"970
ZOOLOGY","","","","","","","","","","","","","","","","","","","",""
"470
Intro to Animal Development","001","","170","2.971","30.0","15.9","15.3","8.8","24.7","4.1","1.2",".",".",".",".",".",".",".",".","."
"504
Modeling Animal Landscapes","001","","16","3.339","56.3",".","25.0",".","6.3","6.3","6.3",".",".",".",".",".",".",".",".","."
"510
Ecology of Fishes","001","","53","3.028","26.4","1.9","52.8",".","13.2","5.7",".",".",".",".",".",".",".",".",".","."
"511","001","","9","3.278","44.4","11.1",".","44.4",".",".",".",".",".",".",".",".",".",".",".","."
"511","002","","20","3.368","25.0","20.0","50.0",".",".",".",".","5.0",".",".",".",".",".",".",".","."
"Ecology of Fishes Lab","Course Total","","29","3.339","31.0","17.2","34.5","13.8",".",".",".","3.4",".",".",".",".",".",".",".","."
"520
Ornithology","001","","86","2.994","19.8","12.8","43.0","4.7","11.6","4.7","1.2","2.3",".",".",".",".",".",".",".","."
"521","001","","15","3.367","60.0",".","20.0","6.7","6.7","6.7",".",".",".",".",".",".",".",".",".","."
"521","002","","13","3.192","46.2","23.1","7.7",".","7.7","15.4",".",".",".",".",".",".",".",".",".","."
"521","003","","16","3.469","31.3","31.3","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"521","004","","15","3.000","20.0","6.7","46.7","6.7","20.0",".",".",".",".",".",".",".",".",".",".","."
"Birds of Southern Wisconsin","Course Total","","59","3.263","39.0","15.3","28.8","3.4","8.5","5.1",".",".",".",".",".",".",".",".",".","."
"524
Neurobi II:Intr-Brain&Behav","001","","55","3.343","49.1","5.5","27.3","3.6","10.9",".","1.8","1.8",".",".",".",".",".",".",".","."
"530
Insect Behavior","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"550
Animal Comm & Orig of Lang","001","","6","3.583","50.0","16.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"565
Principles-Landscape Ecology","001","","6","2.833","33.3","16.7",".","16.7","16.7","16.7",".",".",".",".",".",".",".",".",".","."
"611
Comparatv&Evolutionry Physiol","001","","82","2.926","20.7","26.8","14.6","12.2","15.9","6.1","2.4",".",".",".",".",".","1.2",".",".","."
"612
Comparative Physiology Lab","001","","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"625
Development of Nervous Sys","001","","47","3.435","55.3","6.4","21.3","2.1","10.6","2.1",".",".",".",".",".",".",".",".",".","2.1"
"651
Conservation Biology","001","","6","2.917","16.7","16.7","33.3",".","33.3",".",".",".",".",".",".",".",".",".",".","."
"677
Internship in Ecology","001","","23","3.826","95.7",".",".",".",".",".","4.3",".",".",".",".",".",".",".",".","."
"680
Honors Seminar","001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"681","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","067","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","2","***","","","","","","","","","","","","","","","",""
"682","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","050","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"682","065","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","071","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"692","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","Course Total","","2","***","","","","","","","","","","","","","","","",""
"699","008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","009","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","018","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","019","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
