"","999
155","2","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","999
160","1","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","999
161","1","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Readng & Rsch-Marketing PhD","Course Total","6","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"MARKETNG
237","Dept. Total","1537","3.445","35.7","33.4","21.8","5.7","1.7","0.8","0.2","0.7","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"237
MARKETNG","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","","380","3.310","22.6","37.1","27.9","7.9","2.4","1.6","0.3","0.3","",".",".","",".","",".","",".",".",".","."
"Senior","","745","3.385","28.3","35.6","25.2","6.6","2.0","0.9","0.3","1.1","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","1125","3.359","26.4","36.1","26.1","7.0","2.1","1.2","0.3","0.8","",".",".","",".","",".","",".",".",".","."
"Special","","20","2.975","10.0","15.0","45.0","20.0","10.0",".",".",".","",".",".","",".","",".","",".",".",".","."
"Graduate","","391","3.745","63.7","26.6","7.9","1.3",".",".",".","0.5","",".",".","",".","",".","",".",".",".","."
"Prof Yr 1","","1","3.000",".",".","100.0",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"Professionals","","1","3.000",".",".","100.0",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","1537","3.445","35.7","33.4","21.8","5.7","1.7","0.8","0.2","0.7","",".",".","",".","",".","",".",".",".","."
